#Time	 Roll 	 Pitch 	 Yaw
1399407257714423650	0.000176211	0.0258542	0.439569
1399407257784382653	0.000417611	0.0263968	0.439779
1399407257806399033	0.000660979	0.0269365	0.44005
1399407257854323147	0.000914352	0.0274774	0.440326
1399407257871288573	0.00115808	0.0280194	0.440578
1399407257898210312	0.00139485	0.0285832	0.440816
1399407257943287615	0.00161016	0.0291137	0.441063
1399407258043200043	0.00184893	0.0296459	0.441331
1399407258083125883	0.00207535	0.0301734	0.441605
1399407258111106245	0.00230517	0.0307065	0.441863
1399407258128094045	0.00253834	0.0312149	0.442127
1399407258158099960	0.00275815	0.0317232	0.442402
1399407258192034498	0.00298367	0.0322542	0.442667
1399407258262967439	0.00320393	0.032771	0.442947
1399407258305984804	0.00342429	0.0332791	0.443208
1399407258322953484	0.00366064	0.0337832	0.443462
1399407258357960873	0.00388001	0.0342985	0.443668
1399407258464897812	0.00410601	0.0348142	0.443907
1399407258481798472	0.00435033	0.035349	0.444174
1399407258533791124	0.00455871	0.0358714	0.444446
1399407258550694310	0.00477572	0.0363853	0.444715
1399407258580743326	0.00523468	0.0373927	0.445225
1399407258674853053	0.00545937	0.0378814	0.445487
1399407258691778582	0.00568632	0.0383664	0.445763
1399407258781588893	0.00591579	0.0388432	0.446014
1399407258797570985	0.00613816	0.0393564	0.446235
1399407258814574987	0.0063591	0.0398367	0.446469
1399407258836534860	0.00657106	0.0403196	0.446687
1399407258867503994	0.00679539	0.0407944	0.446929
1399407258941481594	0.00701872	0.041289	0.447151
1399407258964429654	0.00720929	0.0417464	0.447362
1399407259000387679	0.00741544	0.0422198	0.447565
1399407259038381717	0.00763396	0.0426953	0.44781
1399407259106366841	0.0078693	0.043172	0.448042
1399407259122324833	0.00808958	0.043652	0.448254
1399407259168273986	0.00826675	0.0441286	0.44847
1399407259190267046	0.00846849	0.0446046	0.448716
1399407259219225268	0.00865259	0.0450697	0.448907
1399407259260273641	0.00882973	0.0455379	0.449103
1399407259358239165	0.00903149	0.0460321	0.449314
1399407259404163025	0.00921376	0.0464715	0.449548
1399407259438137798	0.00961675	0.0473745	0.449981
1399407259517046877	0.00979978	0.0478205	0.450185
1399407259534016923	0.0100261	0.048284	0.45039
1399407259550010148	0.0102301	0.0487279	0.450599
1399407259610955310	0.0104355	0.0491911	0.450821
1399407259672960502	0.0106277	0.0496256	0.451035
1399407259689901742	0.0108194	0.0500869	0.451219
1399407259710885087	0.0110038	0.0505464	0.451445
1399407259744837556	0.0111887	0.0509805	0.451653
1399407259854762436	0.011414	0.0514146	0.451888
1399407259871775930	0.0116174	0.0518642	0.452126
1399407259889749648	0.0118141	0.0522941	0.452336
1399407259905762618	0.0120325	0.0527179	0.452554
1399407259986731444	0.0122323	0.0531487	0.452776
1399407260010675161	0.0124289	0.0535587	0.453021
1399407260059826474	0.0128125	0.0543917	0.453472
1399407260151592099	0.0129937	0.0548241	0.453703
1399407260167652130	0.0131428	0.0552211	0.453898
1399407260201638946	0.0133105	0.0556128	0.454089
1399407260272592419	0.0135004	0.0560237	0.454331
1399407260288511800	0.013678	0.0564469	0.45449
1399407260355510084	0.0138401	0.0568598	0.454725
1399407260372519613	0.0140176	0.0572826	0.454936
1399407260388512144	0.0142071	0.0576906	0.455141
1399407260421461207	0.0143834	0.0580866	0.45537
1399407260517262573	0.0145534	0.0584802	0.4556
1399407260540314788	0.0147419	0.0588841	0.455823
1399407260557315423	0.0149135	0.0592905	0.456005
1399407260585372584	0.0150904	0.0596826	0.4562
1399407260628367754	0.0152727	0.0600722	0.456388
1399407260708211883	0.0154802	0.0604921	0.456603
1399407260728241539	0.0156381	0.0608674	0.456822
1399407260744259150	0.0157969	0.06124	0.457029
1399407260782171018	0.0159788	0.0616332	0.457282
1399407260881127195	0.0161626	0.0620074	0.457504
1399407260898088900	0.0163232	0.062388	0.457706
1399407260940028662	0.0164807	0.0627592	0.457922
1399407260963125626	0.0166367	0.0631431	0.45811
1399407261012915325	0.0168242	0.0635194	0.458301
1399407261031058955	0.0169884	0.0638972	0.458515
1399407261101949995	0.0171703	0.0643019	0.458688
1399407261189791462	0.0176538	0.0654298	0.459284
1399407261301786502	0.0178028	0.0658018	0.459491
1399407261318791058	0.0179818	0.0661911	0.459681
1399407261335745944	0.0181476	0.0665591	0.45987
1399407261383685005	0.0183333	0.0669207	0.460072
1399407261413685981	0.0184884	0.0672946	0.46031
1399407261426577269	0.0186638	0.0676628	0.460507
1399407261511672691	0.0188046	0.0680575	0.46069
1399407261528650166	0.0189602	0.0684204	0.460883
1399407261586595779	0.0191396	0.0687845	0.461053
1399407261603596711	0.0193108	0.0691403	0.461246
1399407261668671393	0.0194752	0.0695144	0.461458
1399407261686444239	0.0196404	0.0698599	0.461639
1399407261709516184	0.0198014	0.0702078	0.461839
1399407261737305582	0.0199671	0.070561	0.462061
1399407261846427431	0.0201279	0.0709319	0.462241
1399407261862210847	0.0203173	0.0713048	0.462429
1399407261881362739	0.020471	0.071639	0.462601
1399407261908242566	0.0206275	0.071979	0.462795
1399407261985201224	0.0207921	0.0723168	0.462981
1399407262039060441	0.0211093	0.0729989	0.463307
1399407262061079758	0.0212626	0.0733486	0.463488
1399407262100065291	0.0214334	0.0736827	0.463657
1399407262192008491	0.02163	0.0740073	0.463817
1399407262215945576	0.0218226	0.0743392	0.463996
1399407262264915411	0.0219827	0.0746662	0.464162
1399407262280917716	0.0221343	0.0749993	0.464352
1399407262301939378	0.022293	0.0753339	0.464517
1399407262357790659	0.0224265	0.0756613	0.464668
1399407262391828156	0.0225649	0.0759812	0.464852
1399407262488686639	0.0227114	0.0762871	0.465004
1399407262505674488	0.0228485	0.0766118	0.465189
1399407262522760338	0.0229918	0.076939	0.465372
1399407262557748063	0.023134	0.0772587	0.465552
1399407262629707261	0.0232725	0.0775781	0.465741
1399407262646598187	0.0234034	0.0779006	0.465901
1399407262680580366	0.0235438	0.0782352	0.466063
1399407262768571756	0.0236761	0.0785466	0.466207
1399407262784569659	0.0238317	0.0788452	0.466356
1399407262801521587	0.0239471	0.0791357	0.466498
1399407262873440454	0.0240836	0.0794261	0.466668
1399407262913372131	0.0242151	0.0797208	0.466814
1399407262932355926	0.0243362	0.0800165	0.467002
1399407262948472923	0.0244716	0.0803242	0.46714
1399407262984463191	0.0246122	0.080612	0.467318
1399407263083342683	0.0247476	0.0809186	0.467481
1399407263100382502	0.0248616	0.0812086	0.467633
1399407263152275572	0.0250078	0.0815247	0.467794
1399407263169159950	0.0251541	0.0818322	0.467979
1399407263199185403	0.0253105	0.0821287	0.468145
1399407263234221414	0.0254656	0.0824401	0.468327
1399407263305112035	0.0255853	0.0827363	0.468463
1399407263348106364	0.0256971	0.0830382	0.468617
1399407263365063583	0.0258079	0.0833382	0.468775
1399407263389048347	0.0259333	0.0836448	0.468913
1399407263418048048	0.026022	0.0839392	0.46903
1399407263458034798	0.0261287	0.0842607	0.469156
1399407263555975780	0.0262514	0.0845629	0.469312
1399407263602921293	0.0263868	0.084848	0.469454
1399407263629908851	0.0266813	0.0854105	0.469741
1399407263671826103	0.0268128	0.0856976	0.469869
1399407263713846112	0.0269346	0.0859796	0.470001
1399407263807745064	0.027072	0.0862544	0.470126
1399407263825713670	0.0271885	0.0865337	0.470304
1399407263842733940	0.027357	0.0868006	0.470463
1399407263875728295	0.0274746	0.0871019	0.47058
1399407263901649131	0.0275806	0.087364	0.470717
1399407263937659651	0.0276964	0.0876539	0.470825
1399407264003558330	0.0278247	0.0879004	0.470953
1399407264039600970	0.0279652	0.0881809	0.471119
1399407264092515357	0.0280713	0.0884552	0.471276
1399407264110406526	0.0281937	0.0887127	0.471417
1399407264252374666	0.0283148	0.0889902	0.471511
1399407264347276546	0.0284177	0.0892623	0.471647
1399407264370365847	0.0285159	0.0895175	0.47186
1399407264386492433	0.0285999	0.0898268	0.471884
1399407264463401287	0.0286896	0.0904952	0.47219
1399407264480270739	0.0289119	0.0909475	0.472333
1399407264497411751	0.0289668	0.0914792	0.473485
1399407264593305401	0.0289723	0.0926829	0.47335
1399407264610371508	0.0292119	0.0938399	0.474572
1399407264779176265	0.0292811	0.0938587	0.474253
1399407264795121719	0.0290808	0.0931855	0.475884
1399407264812063431	0.0289933	0.0923459	0.476692
1399407264912917972	0.0291283	0.0915518	0.477873
1399407264931913358	0.029241	0.0904701	0.479122
1399407265003799844	0.0293743	0.0891707	0.480155
1399407265020814060	0.0284516	0.0887152	0.481344
1399407265036912146	0.0281326	0.0879744	0.482619
1399407265112807679	0.0285812	0.085341	0.483655
1399407265213902766	0.030209	0.0774412	0.484483
1399407265230799591	0.0301945	0.0618877	0.484168
1399407265246793583	0.0292981	0.0445757	0.482493
1399407265441740673	0.019389	0.0218461	0.479293
1399407265458673533	0.0177119	0.0340826	0.479264
1399407265532510945	0.0162141	0.0539449	0.480596
1399407265549412071	0.0142548	0.068379	0.481749
1399407265565503846	0.00933655	0.0794711	0.482501
1399407265641572916	0.00574624	0.0908516	0.483434
1399407265741402823	0.00587601	0.101877	0.484382
1399407265758423772	0.00488948	0.107587	0.485471
1399407265774410653	0.00229201	0.107646	0.485601
1399407265847522089	0.000523619	0.104895	0.484981
1399407265864239881	0.00103759	0.101526	0.484169
1399407265959309261	0.00401654	0.0975406	0.483686
1399407265981310059	0.0064116	0.0880921	0.483417
1399407265998196523	0.00350475	0.0746233	0.483131
1399407266074141168	0.000460818	0.0623669	0.48248
1399407266094220669	0.00160262	0.0538427	0.481447
1399407266170159902	0.00519559	0.0488797	0.480165
1399407266210026409	0.005265	0.0459312	0.478628
1399407266281778634	0.000894714	0.0449819	0.477268
1399407266299025629	-0.00355259	0.0502529	0.476184
1399407266314922730	-0.00477728	0.0692578	0.475462
1399407266391781106	-0.00285308	0.0963708	0.474873
1399407266490719728	0.000666127	0.119443	0.475006
1399407266506852324	0.0035234	0.134424	0.475193
1399407266523819990	0.00420463	0.143524	0.475271
1399407266599817558	0.00231877	0.144292	0.475028
1399407266615746712	0.000103744	0.137865	0.474181
1399407266632629053	-0.000573472	0.130506	0.473026
1399407266732457921	0.000102338	0.118696	0.470782
1399407266748619455	0.000820136	0.100472	0.469436
1399407266821607222	0.00202474	0.0708335	0.468123
1399407266838557791	0.00209068	0.0458038	0.467293
1399407266939502509	0.00505677	0.0271537	0.466754
1399407266955541347	0.0105979	0.0192119	0.465893
1399407267025479873	0.0135039	0.0283423	0.465873
1399407267042408675	0.011782	0.0627273	0.467027
1399407267141245349	0.0116664	0.109807	0.46933
1399407267160281006	0.0162122	0.143854	0.472265
1399407267177185078	0.0198817	0.165949	0.47449
1399407267250188258	0.0211757	0.162704	0.474503
1399407267347247157	0.020554	0.144423	0.473333
1399407267364985545	0.019845	0.118286	0.471521
1399407267380148008	0.0197784	0.083182	0.469294
1399407267455123856	0.0169774	0.0525317	0.467011
1399407267496045062	0.0154358	0.0389353	0.465427
1399407267566833537	0.0141879	0.0277699	0.464964
1399407267583962839	0.0123264	0.010782	0.465321
1399407267600941412	0.0154321	0.0159982	0.466308
1399407267707805345	0.0255152	0.07666	0.469145
1399407267776902408	0.03871	0.147525	0.475667
1399407267793840829	0.0427178	0.183725	0.479318
1399407267810793636	0.0324116	0.170152	0.47882
1399407267909745754	0.0198953	0.136815	0.477187
1399407267928731233	0.0147693	0.111372	0.47542
1399407267999722840	0.0139672	0.0853934	0.47372
1399407268016711613	0.0101464	0.0593517	0.472721
1399407268118626109	0.00382786	0.0430191	0.472769
1399407268134522303	0.000485103	0.0361969	0.474408
1399407268204608318	0.00262706	0.0327861	0.476797
1399407268222416955	0.00612742	0.0395171	0.479429
1399407268318440638	0.0117808	0.0787235	0.482529
1399407268334295331	0.0205624	0.112037	0.485695
1399407268350434424	0.0264904	0.0997605	0.48748
1399407268426360745	0.0268896	0.0668606	0.487303
1399407268466352894	0.0208078	0.0434678	0.483931
1399407268538251068	0.0108182	0.0355898	0.481812
1399407268555322630	0.00526667	0.0389394	0.481878
1399407268571303513	0.00372697	0.062635	0.484092
1399407268671122946	0.00428624	0.102436	0.48778
1399407268741139067	0.0130232	0.136007	0.493131
1399407268760173709	0.0228014	0.154044	0.497713
1399407268853034077	0.025561	0.139074	0.500173
1399407268892936194	0.0253785	0.122415	0.501215
1399407268964833698	0.0249862	0.110644	0.502027
1399407268980973858	0.0245785	0.105775	0.502907
1399407268997747166	0.0237875	0.105582	0.50291
1399407269073852404	0.0242146	0.112918	0.503342
1399407269173558894	0.0247675	0.122852	0.504725
1399407269189670880	0.0239284	0.128365	0.50635
1399407269206725201	0.0219414	0.129506	0.507836
1399407269282604821	0.0199688	0.128175	0.509205
1399407269298585174	0.0172445	0.122524	0.510289
1399407269315636677	0.0132548	0.114818	0.511048
1399407269420629327	0.00918871	0.105061	0.511546
1399407269490551572	0.00717093	0.0935065	0.511705
1399407269506474850	0.00869763	0.083996	0.512212
1399407269523510116	0.0125828	0.0790104	0.51296
1399407269599336033	0.014291	0.0747125	0.513828
