#Time	 SERVO_1	 SERVO_2	 SERVO_3	 SERVO_4
1399576489531636052	1105	1105	1105	1105
1399576489548580379	1105	1105	1105	1105
1399576489570580240	1105	1105	1105	1105
1399576489606603749	1105	1105	1105	1105
1399576489626385026	1105	1105	1105	1105
1399576489753339223	1105	1105	1105	1105
1399576489770372283	1105	1105	1105	1105
1399576489791325047	1105	1105	1105	1105
1399576489836486937	1105	1105	1105	1105
1399576489862430545	1105	1105	1105	1105
1399576489957447736	1105	1105	1105	1105
1399576489973352738	1105	1105	1105	1105
1399576489990394358	1105	1105	1105	1105
1399576490022396937	1105	1105	1105	1105
1399576490094387223	1105	1105	1105	1105
1399576490131439333	1105	1105	1105	1105
1399576490171186835	1105	1105	1105	1105
1399576490195320455	1105	1105	1105	1105
1399576490225317152	1105	1105	1105	1105
1399576490294195292	1105	1105	1105	1105
1399576490311257596	1105	1105	1105	1105
1399576490425211009	1105	1105	1105	1105
1399576490442216227	1105	1105	1105	1105
1399576490470231419	1105	1105	1105	1105
1399576490550226194	1105	1105	1105	1105
1399576490567119487	1105	1105	1105	1105
1399576490619071908	1105	1105	1105	1105
1399576490636141494	1105	1105	1105	1105
1399576490704078887	1105	1105	1105	1105
1399576490766006344	1105	1105	1105	1105
1399576490783051670	1105	1105	1105	1105
1399576490876056642	1105	1105	1105	1105
1399576490892010865	1105	1105	1105	1105
1399576490908984535	1105	1105	1105	1105
1399576490933977572	1105	1105	1105	1105
1399576490970961680	1105	1105	1105	1105
1399576490995882607	1105	1105	1105	1105
1399576491061931085	1105	1105	1105	1105
1399576491130884767	1105	1105	1105	1105
1399576491158930792	1105	1105	1105	1105
1399576491181894722	1105	1105	1105	1105
1399576491308857090	1105	1105	1105	1105
1399576491325809301	1105	1105	1105	1105
1399576491341750678	1105	1105	1105	1105
1399576491358806053	1105	1105	1105	1105
1399576491384680038	1105	1105	1105	1105
1399576491465764379	1105	1105	1105	1105
1399576491507776305	1105	1105	1105	1105
1399576491523569944	1105	1105	1105	1105
1399576491585667958	1105	1105	1105	1105
1399576491646680541	1105	1105	1105	1105
1399576491733715153	1105	1105	1105	1105
1399576491749620726	1105	1105	1105	1105
1399576491772621555	1105	1105	1105	1105
1399576491808713303	1105	1105	1105	1105
1399576491833602421	1105	1105	1105	1105
1399576491912501491	1105	1105	1105	1105
1399576491954529000	1105	1105	1105	1105
1399576491981553805	1105	1105	1105	1105
1399576491997556568	1105	1105	1105	1105
1399576492066592750	1105	1105	1105	1105
1399576492128511026	1105	1105	1105	1105
1399576492169528152	1105	1105	1105	1105
1399576492193605381	1105	1105	1105	1105
1399576492210310726	1105	1105	1105	1105
