#Time	 Roll 	 Pitch 	 Yaw
1399426560483098595	-0.0228493	0.00835283	0.436906
1399426560499077272	-0.0227279	0.00861368	0.436989
1399426560541070427	-0.0226023	0.00889419	0.437045
1399426560564086984	-0.0224855	0.0091773	0.437155
1399426560580117805	-0.0223824	0.00943978	0.437269
1399426560608007830	-0.0222843	0.00971581	0.437383
1399426560694062482	-0.0221789	0.00997553	0.437493
1399426560734050512	-0.0220641	0.0102425	0.437609
1399426560752179806	-0.0219418	0.0105198	0.437721
1399426560768059771	-0.0218573	0.0107918	0.437789
1399426560850978263	-0.0217682	0.0110651	0.437901
1399426560868953821	-0.021678	0.0113393	0.438036
1399426560903922178	-0.0215928	0.011585	0.438139
1399426560944031512	-0.0214947	0.0118192	0.438231
1399426560962022930	-0.0214016	0.0120503	0.438306
1399426561019741459	-0.0212868	0.0123233	0.438411
1399426561053909489	-0.0212091	0.012562	0.438483
1399426561124860172	-0.021128	0.0128399	0.438558
1399426561167860343	-0.020998	0.0130971	0.438651
1399426561184818610	-0.0208906	0.0133552	0.438719
1399426561208799639	-0.0207949	0.0136206	0.438784
1399426561237691816	-0.0206987	0.0138878	0.438872
1399426561277676380	-0.0205986	0.0141252	0.438954
1399426561378710259	-0.0204924	0.0143593	0.439027
1399426561433666042	-0.0203932	0.0145789	0.43909
1399426561452747217	-0.0203133	0.0148002	0.439187
1399426561469630556	-0.0202289	0.0150489	0.439303
1399426561534677085	-0.0201169	0.0152893	0.439404
1399426561550634666	-0.0200242	0.0155373	0.439491
1399426561608648760	-0.01991	0.0157918	0.439569
1399426561625576215	-0.019794	0.0160335	0.439669
1399426561688615936	-0.0196951	0.0162822	0.439759
1399426561705553368	-0.0196325	0.0165128	0.439843
1399426561722540234	-0.0195045	0.0167451	0.439956
1399426561847646000	-0.0194135	0.0170006	0.44005
1399426561887624052	-0.019311	0.0172567	0.440143
1399426561953488603	-0.0192427	0.0175134	0.440234
1399426561969483579	-0.0191536	0.0177407	0.440327
1399426561986534616	-0.0190643	0.0179678	0.440394
1399426562005512489	-0.0189574	0.0182018	0.440469
1399426562052521388	-0.0188618	0.0184304	0.440529
1399426562084546223	-0.018777	0.0186562	0.440577
1399426562101498361	-0.0187103	0.0188933	0.440656
1399426562118491766	-0.0186212	0.0191172	0.440747
1399426562215404758	-0.0185247	0.0193293	0.440858
1399426562239300330	-0.0184435	0.0195744	0.440951
1399426562290312964	-0.0182495	0.02004	0.441113
1399426562375223918	-0.018139	0.0202804	0.441195
1399426562391256696	-0.0180437	0.0205202	0.441299
1399426562411255804	-0.0179549	0.0207317	0.441368
1399426562515185912	-0.0178652	0.0209286	0.441422
1399426562532142558	-0.0177661	0.0211486	0.441513
1399426562549134171	-0.0176726	0.0213907	0.441576
1399426562565175971	-0.0176038	0.0215909	0.441655
1399426562598184304	-0.0175148	0.0218077	0.441723
1399426562690137613	-0.0174297	0.0220383	0.441794
1399426562730072049	-0.017368	0.0222598	0.441809
1399426562748073964	-0.0172722	0.0224626	0.441872
1399426562767053262	-0.0171787	0.0226893	0.441946
1399426562848009606	-0.0170828	0.0229063	0.442082
1399426562865015090	-0.0170071	0.0231144	0.442179
1399426563006097063	-0.0169164	0.0233225	0.442291
1399426563022028972	-0.0168285	0.0235502	0.442391
1399426563038947787	-0.0167268	0.0237571	0.442479
1399426563057924062	-0.0166202	0.0239641	0.442544
1399426563080984529	-0.0165447	0.0241558	0.442625
1399426563096935631	-0.0164671	0.0243611	0.442716
1399426563148900157	-0.0163819	0.0245738	0.442819
1399426563216942474	-0.0162948	0.0247776	0.442869
1399426563232944665	-0.0162209	0.0249877	0.442929
1399426563250005481	-0.0161423	0.0251985	0.442989
1399426563282000918	-0.0160533	0.0253876	0.443075
1399426563352852797	-0.0159784	0.0255996	0.44312
1399426563429228989	-0.015903	0.0258005	0.44318
1399426563449222254	-0.0158405	0.0260267	0.443252
1399426563464838166	-0.0157589	0.0262268	0.44328
1399426563530926105	-0.0156701	0.0264161	0.443324
1399426563547856848	-0.0155867	0.0266039	0.44339
1399426563589774047	-0.0155076	0.0268063	0.443451
1399426563605832416	-0.0154374	0.0270052	0.4435
1399426563641752705	-0.0153452	0.0272032	0.443562
1399426563740838619	-0.0152675	0.0274007	0.443629
1399426563757816386	-0.015157	0.0276188	0.443659
1399426563845611952	-0.0150739	0.0278026	0.443704
1399426563862621239	-0.0150019	0.0280134	0.443749
1399426563879661382	-0.0149263	0.0281882	0.443808
1399426563905511310	-0.0148602	0.0283679	0.443874
1399426563922482005	-0.0148118	0.0285714	0.443951
1399426564056541462	-0.0147384	0.0287612	0.444026
1399426564096442523	-0.0146595	0.0289637	0.444106
1399426564114460474	-0.0146025	0.0291564	0.444176
1399426564137432744	-0.0145314	0.0293503	0.444245
1399426564153495237	-0.0144522	0.0295537	0.444329
1399426564212436278	-0.0143833	0.0297511	0.444427
1399426564259380284	-0.0143186	0.0299603	0.444524
1399426564285417343	-0.0141771	0.0303453	0.44471
1399426564371338365	-0.0140886	0.0305213	0.444807
1399426564387365755	-0.0140069	0.0307086	0.44488
1399426564407325741	-0.0139585	0.0309011	0.444921
1399426564465329980	-0.0139043	0.0310936	0.444986
1399426564581257405	-0.0138296	0.0312724	0.445069
1399426564598241740	-0.0137559	0.0314276	0.445183
1399426564614236391	-0.0137078	0.0316118	0.445277
1399426564634222753	-0.0136383	0.0317899	0.445355
1399426564687328718	-0.0135792	0.0319468	0.445457
1399426564704275754	-0.0135017	0.0321051	0.445532
1399426564732268994	-0.0134196	0.0322847	0.445623
1399426564802232546	-0.0133741	0.0324742	0.445701
1399426564819256524	-0.013291	0.0326372	0.445785
1399426564898151225	-0.0132397	0.0328081	0.44585
