#Time 	 Pos.X 	 Pos.Y 	 Pos.Z 	 Quat.X 	 Quat.Y 	 Quat.Z 	 Quat.W
1399579600142323116	0.800655	0.819647	0.0763609	-0.00754359	-0.00160162	-0.00794884	0.999939
1399579600150619116	0.800647	0.819632	0.0763637	-0.00768341	-0.0015786	-0.00803265	0.999937
1399579600158965116	0.800663	0.819565	0.0763634	-0.00806734	-0.0017054	-0.00801848	0.999934
1399579600167394116	0.800638	0.819644	0.0763678	-0.00760271	-0.0015102	-0.00798618	0.999938
1399579600175641116	0.800674	0.819611	0.0763898	-0.00783931	-0.00175503	-0.0080225	0.999936
1399579600184017116	0.80066	0.81964	0.0763652	-0.00767229	-0.00168991	-0.00801883	0.999937
1399579600192289116	0.800637	0.819578	0.0763223	-0.00791728	-0.0014612	-0.0080042	0.999936
1399579600200677116	0.800612	0.81962	0.076366	-0.00771946	-0.00133444	-0.00809248	0.999937
1399579600208965116	0.800677	0.819608	0.0763582	-0.00777112	-0.00176091	-0.00797547	0.999937
1399579600217331116	0.80071	0.819651	0.0764093	-0.00760434	-0.00201453	-0.00799095	0.999937
1399579600225652116	0.800689	0.819606	0.0763774	-0.0078326	-0.00186481	-0.00797936	0.999936
1399579600233967116	0.800645	0.819534	0.0763573	-0.00828287	-0.00153924	-0.00809372	0.999932
1399579600242302116	0.800594	0.819658	0.0764073	-0.00753719	-0.00127422	-0.00807239	0.999938
1399579600250712116	0.800689	0.819643	0.0763916	-0.00760475	-0.00188087	-0.00795114	0.999938
1399579600259003116	0.800624	0.819648	0.076403	-0.00760724	-0.00144143	-0.00804414	0.999938
1399579600267354116	0.800654	0.819601	0.0763438	-0.00781918	-0.00166028	-0.0079682	0.999936
1399579600275638116	0.800766	0.81961	0.0763846	-0.00783887	-0.00234002	-0.00795112	0.999935
1399579600284013116	0.800619	0.819616	0.0763603	-0.00773089	-0.00140114	-0.0080109	0.999937
1399579600292374116	0.800647	0.819659	0.0763578	-0.00751638	-0.0015468	-0.0079685	0.999939
1399579600300638116	0.800662	0.819587	0.0763796	-0.00797368	-0.00175432	-0.00803354	0.999934
1399579600309061116	0.800649	0.819675	0.0763691	-0.00738454	-0.00159139	-0.00794947	0.99994
1399579600317304116	0.800657	0.819594	0.0763781	-0.0079516	-0.00167172	-0.00805303	0.999935
1399579600325642116	0.800635	0.819622	0.0763627	-0.00771228	-0.00150394	-0.00801953	0.999937
1399579600333992116	0.800639	0.819617	0.0763418	-0.00776028	-0.00155142	-0.00801638	0.999937
1399579600342362116	0.800696	0.819521	0.0763649	-0.0084245	-0.00190204	-0.00811924	0.99993
1399579600350640116	0.800648	0.819563	0.0763661	-0.00807116	-0.00162731	-0.00807559	0.999934
1399579600358955116	0.800557	0.819614	0.0763902	-0.00781798	-0.00106945	-0.00806065	0.999936
1399579600367365116	0.800681	0.819524	0.0763516	-0.0083388	-0.00175742	-0.00811687	0.999931
1399579600375694116	0.800632	0.819674	0.0763517	-0.0073776	-0.0014617	-0.00806074	0.999939
1399579600384017116	0.800638	0.819685	0.0763749	-0.007357	-0.00155598	-0.00804503	0.999939
1399579600392282116	0.800664	0.819637	0.0763609	-0.0076756	-0.00169622	-0.00800826	0.999937
1399579600400635116	0.800664	0.819678	0.0763725	-0.00741622	-0.00172616	-0.00794716	0.999939
1399579600408969116	0.800654	0.819661	0.0763559	-0.00757902	-0.00158215	-0.00803604	0.999938
1399579600417380116	0.80061	0.819667	0.0763663	-0.00742402	-0.00137307	-0.00802098	0.999939
1399579600425613116	0.800708	0.819671	0.0763685	-0.00743172	-0.00193881	-0.00794413	0.999939
1399579600433981116	0.800686	0.819678	0.0763892	-0.00743828	-0.00183303	-0.00800198	0.999939
1399579600442312116	0.800656	0.81967	0.0764323	-0.00743804	-0.00179924	-0.00796497	0.999939
1399579600450622116	0.800635	0.81957	0.0763407	-0.00805163	-0.00146505	-0.00810186	0.999934
1399579600458994116	0.80068	0.819594	0.0763757	-0.00793068	-0.00177883	-0.00802175	0.999935
1399579600467374116	0.800663	0.819569	0.0764072	-0.00801833	-0.00174728	-0.0080866	0.999934
1399579600475640116	0.800617	0.819647	0.0763768	-0.00763346	-0.00143297	-0.00803136	0.999938
1399579600483961116	0.800644	0.819676	0.0763593	-0.0073891	-0.00155394	-0.00803472	0.999939
1399579600492324116	0.800709	0.819618	0.0764073	-0.00781321	-0.00203629	-0.00806621	0.999935
1399579600500678116	0.800755	0.819689	0.0763513	-0.00730706	-0.00223061	-0.00789365	0.99994
1399579600508961116	0.800694	0.819631	0.0763736	-0.00764234	-0.00183533	-0.00802392	0.999937
1399579600517397116	0.800669	0.819575	0.076365	-0.00806674	-0.00171931	-0.00807383	0.999933
1399579600525662116	0.800701	0.819663	0.0764129	-0.00755165	-0.00199211	-0.0079823	0.999938
1399579600533960116	0.800686	0.819611	0.0763989	-0.00783282	-0.00189041	-0.00798973	0.999936
1399579600542309116	0.800628	0.819651	0.0763455	-0.0075389	-0.00139829	-0.00800612	0.999939
1399579600550703116	0.800634	0.819666	0.0763503	-0.00747513	-0.00151061	-0.0080276	0.999939
1399579600559004116	0.800617	0.81954	0.0764058	-0.0082398	-0.00149039	-0.00810971	0.999932
1399579600567284116	0.800677	0.819626	0.0763784	-0.00775307	-0.00179183	-0.00795919	0.999937
1399579600575675116	0.800691	0.819637	0.0763648	-0.0076006	-0.00186072	-0.00798923	0.999938
1399579600584045116	0.800685	0.819657	0.0763657	-0.00751933	-0.00186039	-0.00800333	0.999938
1399579600592338116	0.800661	0.819649	0.0763556	-0.00758365	-0.0016375	-0.00795333	0.999938
1399579600600661116	0.800606	0.819556	0.076338	-0.00810177	-0.00126549	-0.00804733	0.999934
1399579600608976116	0.800692	0.819631	0.0763874	-0.00767917	-0.00186772	-0.00795079	0.999937
1399579600617311116	0.800711	0.819552	0.0763999	-0.00819433	-0.00209186	-0.00797309	0.999932
1399579600625703116	0.800641	0.819695	0.0763447	-0.00724565	-0.00150259	-0.00802221	0.99994
1399579600634024116	0.80076	0.819622	0.0763496	-0.00776215	-0.00223939	-0.00790899	0.999936
1399579600642290116	0.800691	0.819614	0.0763672	-0.00775434	-0.00184557	-0.00799757	0.999936
1399579600650689116	0.800619	0.819692	0.0763726	-0.00726866	-0.0014059	-0.00802662	0.99994
1399579600658973116	0.800645	0.819642	0.0763837	-0.00764166	-0.00161636	-0.00801157	0.999937
1399579600667333116	0.800703	0.819603	0.0763526	-0.00781601	-0.00196414	-0.00801879	0.999935
1399579600683969116	0.800654	0.819643	0.0763449	-0.00758495	-0.00159972	-0.00807814	0.999937
1399579600692311116	0.80072	0.819607	0.0763787	-0.00780885	-0.00206858	-0.00799885	0.999935
1399579600709024116	0.800614	0.819603	0.0763939	-0.00786749	-0.00138438	-0.00803256	0.999936
1399579600717301116	0.800687	0.819669	0.0763738	-0.00742822	-0.00191533	-0.00795088	0.999939
1399579600725683116	0.800743	0.819624	0.0763706	-0.00774188	-0.00221087	-0.00799687	0.999936
1399579600734001116	0.800639	0.819602	0.0763678	-0.00783367	-0.00153244	-0.00804208	0.999936
1399579600742383116	0.800667	0.819601	0.076397	-0.00788758	-0.00177259	-0.00804807	0.999935
1399579600750648116	0.800613	0.819653	0.0763743	-0.00756607	-0.00138101	-0.00796828	0.999939
1399579600758995116	0.800674	0.819673	0.0763243	-0.0073573	-0.00175603	-0.00803067	0.999939
1399579600767283116	0.80065	0.819626	0.0763875	-0.00773567	-0.00163843	-0.00796492	0.999937
1399579600775628116	0.800691	0.819633	0.0763681	-0.007652	-0.00184712	-0.00798207	0.999937
1399579600783981116	0.800654	0.819614	0.0763653	-0.00776963	-0.00160591	-0.00799955	0.999937
1399579600792317116	0.800679	0.819661	0.0763447	-0.00745175	-0.00175457	-0.00802468	0.999938
1399579600800666116	0.800631	0.81954	0.0763684	-0.00820791	-0.00150306	-0.00807374	0.999933
1399579600808995116	0.800621	0.819535	0.0764021	-0.00834446	-0.00149544	-0.00807651	0.999931
1399579600817296116	0.800657	0.819588	0.0763906	-0.0079821	-0.00169907	-0.00804888	0.999934
1399579600834040116	0.800606	0.819643	0.0763657	-0.00754482	-0.00138897	-0.00802854	0.999938
1399579600842315116	0.800678	0.819565	0.0763831	-0.00811721	-0.00181626	-0.0080521	0.999933
1399579600850669116	0.80067	0.819606	0.0763435	-0.00783363	-0.00170693	-0.00805503	0.999935
1399579600859029116	0.800618	0.819627	0.0763364	-0.00769106	-0.00145038	-0.00805048	0.999937
1399579600867313116	0.800693	0.819625	0.0764162	-0.00774633	-0.00190466	-0.00797553	0.999936
1399579600875673116	0.800656	0.819707	0.0763845	-0.00722053	-0.0016488	-0.00802722	0.99994
1399579600883999116	0.800669	0.819584	0.0763633	-0.00796876	-0.00174289	-0.00799634	0.999935
1399579600900671116	0.800621	0.819619	0.0763833	-0.00777623	-0.00149851	-0.00802153	0.999937
1399579600908996116	0.800652	0.819684	0.0763738	-0.00738708	-0.00165998	-0.00797081	0.99994
1399579600917304116	0.800709	0.819616	0.076383	-0.00778683	-0.00202908	-0.00799536	0.999936
1399579600925641116	0.800623	0.819635	0.0763534	-0.00763507	-0.00144746	-0.00797965	0.999938
1399579600933993116	0.800631	0.819558	0.0763361	-0.0081019	-0.00145353	-0.00807744	0.999934
1399579600942278116	0.800663	0.819614	0.076376	-0.00779792	-0.00168087	-0.00801951	0.999936
1399579600950707116	0.800686	0.819637	0.0763881	-0.00765429	-0.00191984	-0.00789817	0.999938
1399579600958943116	0.800681	0.819628	0.0764125	-0.00772716	-0.00182878	-0.00800235	0.999936
1399579600967295116	0.800642	0.819645	0.0763836	-0.00758994	-0.00162795	-0.0080028	0.999938
1399579600975637116	0.800685	0.819653	0.0763908	-0.00757531	-0.00188472	-0.00791368	0.999938
