#Time 	 Pos.X 	 Pos.Y 	 Pos.Z 	 Quat.X 	 Quat.Y 	 Quat.Z 	 Quat.W
1399577843360711889	0.687304	0.787233	0.0753426	-0.00489593	-0.00511043	-0.006343	0.999955
1399577843368992889	0.687209	0.787336	0.0753126	-0.00425184	-0.00453082	-0.006429	0.99996
1399577843377347889	0.68729	0.787353	0.0753253	-0.00413453	-0.00502628	-0.00622849	0.999959
1399577843385711889	0.687251	0.787291	0.0753408	-0.00459531	-0.00478353	-0.00637029	0.999958
1399577843394010889	0.687332	0.787371	0.0753632	-0.00403852	-0.00532901	-0.00626186	0.999958
1399577843402320889	0.687254	0.787291	0.0753571	-0.0046172	-0.00482114	-0.00637516	0.999957
1399577843410677889	0.687206	0.787285	0.0753378	-0.00461634	-0.00455839	-0.00642611	0.999958
1399577843427336889	0.687324	0.787274	0.0753523	-0.00467214	-0.00519833	-0.00628253	0.999956
1399577843435672889	0.687279	0.787267	0.0753303	-0.00469145	-0.00495695	-0.00630305	0.999957
1399577843443997889	0.687252	0.787229	0.0752921	-0.00497709	-0.00475684	-0.00641342	0.999956
1399577843452308889	0.687261	0.787236	0.075349	-0.00491716	-0.00486995	-0.00640412	0.999956
1399577843460763889	0.68725	0.787204	0.0753249	-0.00513911	-0.0047584	-0.00639787	0.999955
1399577843468997889	0.687322	0.787215	0.0753224	-0.00499273	-0.00519943	-0.00637086	0.999954
1399577843477400889	0.687262	0.787301	0.0753776	-0.00451206	-0.00492837	-0.00630058	0.999958
1399577843485639889	0.687289	0.787164	0.0753089	-0.00541136	-0.00494578	-0.00642519	0.999952
1399577843502334889	0.687298	0.787224	0.0753445	-0.00495935	-0.0050599	-0.00634016	0.999955
1399577843518991889	0.687327	0.78726	0.0753154	-0.0047064	-0.0052353	-0.00629626	0.999955
1399577843527318889	0.687294	0.787234	0.0753286	-0.00485759	-0.00499686	-0.00627583	0.999956
1399577843535687889	0.687262	0.787308	0.0753668	-0.00451385	-0.00490743	-0.00636006	0.999957
1399577843552338889	0.687276	0.78726	0.0753031	-0.0047617	-0.00489942	-0.00636775	0.999956
1399577843560741889	0.687249	0.787273	0.0753283	-0.00465455	-0.00481797	-0.00639708	0.999957
1399577843569000889	0.687184	0.787304	0.075346	-0.00447781	-0.00436755	-0.0063262	0.99996
1399577843585693889	0.687176	0.787225	0.0752994	-0.00496507	-0.00425649	-0.00643892	0.999958
1399577843594051889	0.68731	0.787325	0.0752935	-0.00424325	-0.00511128	-0.00631006	0.999958
1399577843602334889	0.687343	0.787361	0.0753382	-0.00413692	-0.00532632	-0.00627002	0.999958
1399577843610652889	0.687253	0.787271	0.0753367	-0.00469357	-0.00482158	-0.00630808	0.999957
1399577843619011889	0.68729	0.787296	0.0753287	-0.00455437	-0.00504884	-0.00636158	0.999957
1399577843627395889	0.687231	0.787272	0.0753049	-0.00468045	-0.0046405	-0.0064056	0.999958
1399577843635682889	0.687315	0.787338	0.0753618	-0.00433366	-0.00520527	-0.00621503	0.999958
1399577843643991889	0.687235	0.787254	0.0753337	-0.00482977	-0.00471128	-0.00637677	0.999957
1399577843660660889	0.687277	0.787335	0.0753168	-0.00427974	-0.0049168	-0.00632296	0.999959
1399577843669054889	0.687263	0.787391	0.0753431	-0.003966	-0.00490424	-0.00625092	0.999961
1399577843677352889	0.687313	0.787306	0.075338	-0.00445576	-0.00514964	-0.00631395	0.999957
1399577843685650889	0.687211	0.787289	0.075326	-0.00450324	-0.00455281	-0.00640209	0.999959
1399577843693991889	0.687295	0.78729	0.0753135	-0.00452374	-0.005034	-0.00628802	0.999957
1399577843702362889	0.687376	0.787306	0.0753571	-0.00441746	-0.00558016	-0.00625908	0.999955
1399577843718964889	0.687224	0.787278	0.0753141	-0.0046867	-0.00462431	-0.00639267	0.999958
1399577843735687889	0.687286	0.787294	0.0753093	-0.00448858	-0.0050036	-0.00637781	0.999957
1399577843743991889	0.687317	0.787223	0.0753145	-0.00500933	-0.00514939	-0.0063362	0.999954
1399577843752326889	0.687265	0.787196	0.0753048	-0.00515955	-0.00484038	-0.00647121	0.999954
1399577843768986889	0.687333	0.787266	0.075318	-0.00469759	-0.00525433	-0.00632992	0.999955
1399577843777340889	0.687274	0.787308	0.0753309	-0.00449513	-0.00491838	-0.00634132	0.999958
1399577843785668889	0.687262	0.78731	0.0752971	-0.00440205	-0.00487044	-0.00641222	0.999958
1399577843802405889	0.687331	0.78723	0.0753278	-0.00492711	-0.00522972	-0.00643252	0.999954
1399577843818989889	0.687233	0.787306	0.0752997	-0.00447451	-0.00465408	-0.00644169	0.999958
1399577843827347889	0.687307	0.787317	0.075337	-0.00441938	-0.00512181	-0.00635148	0.999957
1399577843835633889	0.687303	0.787406	0.0753191	-0.00382475	-0.00512022	-0.00626476	0.99996
1399577843843980889	0.687313	0.787175	0.0752955	-0.00533971	-0.00507792	-0.00640148	0.999952
1399577843852337889	0.687249	0.787334	0.0753378	-0.00435127	-0.0047847	-0.00636317	0.999959
1399577843860735889	0.687324	0.787255	0.0753104	-0.00477424	-0.00520271	-0.00634049	0.999955
1399577843869021889	0.687298	0.787262	0.0753081	-0.00474656	-0.00506593	-0.00640908	0.999955
1399577843877413889	0.687321	0.787254	0.0753222	-0.00484676	-0.0051944	-0.00639431	0.999954
1399577843894001889	0.68729	0.787263	0.075326	-0.0047237	-0.00501359	-0.00627412	0.999957
1399577843902369889	0.687324	0.787245	0.0752969	-0.00481807	-0.00515976	-0.00639162	0.999955
1399577843910695889	0.687272	0.787349	0.0753194	-0.00421391	-0.00491931	-0.00637564	0.999959
1399577843919005889	0.687272	0.787278	0.0753176	-0.00460587	-0.00492465	-0.00628409	0.999957
1399577843927358889	0.687229	0.787267	0.075335	-0.00465299	-0.00466297	-0.00637145	0.999958
1399577843935642889	0.687294	0.787327	0.0753146	-0.00426581	-0.00504754	-0.0062357	0.999959
1399577843952320889	0.687241	0.787297	0.0753305	-0.00452066	-0.004736	-0.00634649	0.999958
1399577843969019889	0.687272	0.78726	0.0753188	-0.00474149	-0.00495464	-0.00636959	0.999956
1399577843977421889	0.687277	0.787314	0.0753553	-0.00441641	-0.00500304	-0.00625897	0.999958
1399577843985728889	0.687259	0.787384	0.0753462	-0.00393939	-0.00482869	-0.00627347	0.999961
1399577844002332889	0.687304	0.787324	0.0753336	-0.00437211	-0.00507529	-0.00630659	0.999958
