#Time	 Roll 	 Pitch 	 Yaw 	 Thrust
1399091078687052004	1520	1516	1926	1105
1399091078787327255	1520	1516	1926	1105
1399091078887534149	1520	1516	1926	1105
1399091078987747957	1520	1516	1926	1105
1399091079087963919	1520	1516	1926	1105
1399091079188167055	1520	1516	1926	1105
1399091079288377101	1520	1516	1926	1105
1399091079388581383	1520	1516	1513	1105
1399091085992298949	1507	1525	1514	1378
1399091085997357886	1506	1526	1514	1378
1399091086007344059	1506	1526	1514	1378
1399091086017541801	1507	1525	1514	1378
1399091086022319386	1506	1526	1514	1378
1399091086037416172	1507	1525	1514	1378
1399091086042370081	1506	1525	1514	1378
1399091086047179312	1506	1525	1514	1378
1399091086057192550	1506	1525	1514	1378
1399091086067168593	1507	1525	1514	1378
1399091086072182527	1506	1525	1514	1378
1399091086082210371	1506	1525	1514	1378
1399091086097267381	1506	1526	1514	1378
1399091086112133523	1506	1525	1514	1378
1399091086117185147	1506	1525	1514	1378
1399091086122229845	1506	1526	1514	1378
1399091086132174977	1506	1525	1514	1378
1399091086142191689	1507	1526	1514	1378
1399091086147194655	1507	1526	1514	1378
1399091086162245663	1508	1526	1514	1378
1399091086177296306	1507	1526	1514	1378
1399091086182167357	1508	1526	1514	1378
1399091086192226704	1507	1526	1514	1378
1399091086197180180	1507	1525	1514	1378
1399091086212219437	1507	1525	1514	1378
1399091086217176756	1507	1525	1514	1378
1399091086227239168	1507	1525	1514	1378
1399091086232210976	1507	1526	1514	1378
1399091086242178949	1507	1526	1514	1378
1399091086247192127	1507	1525	1514	1378
1399091086272281790	1507	1525	1514	1378
1399091086282263520	1507	1525	1514	1378
1399091086292260584	1507	1526	1514	1378
1399091086297214579	1508	1526	1514	1379
1399091086307261702	1508	1524	1514	1378
1399091086322249707	1508	1526	1514	1378
1399091086327201551	1507	1526	1514	1377
1399091086332159905	1509	1525	1514	1378
1399091086342231541	1508	1527	1514	1378
1399091086347166136	1507	1527	1514	1378
1399091086357184174	1508	1526	1514	1377
1399091086367268449	1507	1526	1514	1377
1399091086377204204	1506	1526	1514	1378
1399091086382201934	1507	1527	1514	1378
1399091086392227497	1507	1525	1514	1378
1399091086397172540	1507	1526	1514	1377
1399091086412172501	1508	1526	1514	1378
1399091086417158045	1508	1526	1514	1378
1399091086427226878	1508	1527	1514	1378
1399091086432186815	1507	1525	1514	1377
1399091086442174236	1508	1527	1514	1378
1399091086447145878	1508	1525	1514	1377
1399091086462148520	1508	1527	1514	1378
1399091086467145647	1508	1526	1514	1377
1399091086477170617	1508	1526	1514	1378
1399091086482159727	1507	1526	1514	1377
1399091086492196295	1508	1526	1514	1456
1399091086497181829	1507	1526	1514	1381
1399091086512216134	1509	1526	1514	1381
1399091086517190725	1508	1526	1514	1381
1399091086527395158	1508	1526	1514	1381
1399091086532542372	1507	1525	1514	1380
1399091086542567723	1508	1527	1514	1381
1399091086547491731	1507	1527	1514	1381
1399091086557537897	1508	1527	1514	1381
1399091086567535788	1508	1527	1514	1381
1399091086577527761	1508	1526	1514	1380
1399091086582469525	1507	1527	1514	1381
1399091086592554587	1508	1526	1514	1380
1399091086602462803	1508	1526	1514	1381
1399091086612499090	1507	1527	1514	1381
1399091086617403814	1508	1525	1514	1381
1399091086632457626	1508	1526	1514	1381
1399091086642187440	1507	1526	1514	1381
1399091086647410510	1508	1526	1514	1381
1399091086662421607	1507	1526	1514	1381
1399091086667364642	1508	1527	1514	1381
1399091086677336197	1508	1528	1514	1381
1399091086692487923	1507	1526	1514	1381
1399091086697445519	1507	1526	1514	1381
1399091086712453368	1507	1527	1514	1381
1399091086717228951	1507	1525	1514	1381
1399091086727415206	1507	1527	1514	1381
1399091086732265373	1507	1526	1514	1381
1399091086742428871	1507	1526	1514	1381
1399091086747293344	1507	1526	1514	1381
1399091086757472640	1508	1526	1514	1381
1399091086767399287	1507	1526	1514	1381
1399091086772462544	1508	1527	1514	1381
1399091086787468644	1507	1527	1514	1381
1399091086792510994	1508	1526	1514	1381
1399091086797416161	1508	1526	1514	1381
1399091086807551627	1508	1525	1514	1381
1399091086817364352	1508	1526	1514	1381
1399091086827262936	1508	1527	1514	1381
1399091086832389845	1508	1526	1514	1381
1399091086842498518	1508	1527	1514	1381
1399091086847380701	1508	1526	1514	1381
1399091086857446911	1508	1527	1514	1381
1399091086867446190	1508	1526	1514	1381
1399091086877393424	1508	1527	1514	1381
1399091086882405596	1508	1526	1514	1381
1399091086892447591	1508	1526	1514	1382
1399091086897329432	1508	1526	1514	1381
1399091086912378037	1508	1526	1514	1381
1399091086927214425	1508	1525	1514	1381
1399091086932378525	1508	1526	1514	1381
1399091086942578601	1508	1527	1514	1381
1399091086947402948	1509	1526	1514	1381
1399091086962500399	1507	1527	1514	1381
1399091086967361036	1510	1527	1514	1381
1399091086977345717	1508	1526	1514	1381
1399091086982379078	1510	1527	1514	1381
1399091086992299818	1507	1526	1514	1457
1399091086997349426	1509	1527	1514	1384
1399091087007171087	1507	1526	1514	1384
1399091087022390433	1508	1526	1514	1384
1399091087027232830	1507	1525	1514	1384
1399091087032406255	1508	1528	1514	1384
1399091087042425100	1508	1526	1514	1384
1399091087062520895	1508	1527	1514	1384
1399091087067251325	1509	1528	1514	1384
1399091087077384850	1507	1526	1514	1384
1399091087082388922	1508	1527	1514	1384
1399091087102448503	1508	1527	1514	1384
1399091087112401325	1507	1526	1514	1384
1399091087117398465	1508	1527	1514	1385
1399091087127263427	1507	1526	1514	1384
1399091087132396461	1508	1527	1514	1384
1399091087147388022	1508	1525	1514	1384
1399091087162465260	1509	1526	1514	1384
1399091087167349499	1509	1527	1514	1385
1399091087177352760	1507	1526	1514	1384
1399091087182390031	1509	1527	1514	1384
1399091087192436753	1508	1526	1514	1385
1399091087197402028	1508	1526	1514	1384
1399091087212466884	1508	1527	1514	1385
1399091087217411815	1508	1526	1514	1384
1399091087227316516	1508	1527	1514	1384
1399091087232403636	1508	1527	1514	1385
1399091087257477718	1508	1526	1514	1384
1399091087267445810	1508	1527	1514	1384
1399091087272397473	1508	1527	1514	1384
1399091087282523444	1508	1527	1514	1384
1399091087292500681	1508	1528	1514	1385
