#Time	 Roll 	 Pitch 	 Yaw
1399427900606442222	-0.0183786	0.003489	0.300772
1399427900640551112	-0.0183184	0.00362279	0.300729
1399427900679489388	-0.0182588	0.00373529	0.300742
1399427900812360599	-0.0181945	0.00387079	0.300723
1399427900828453196	-0.0181106	0.00400728	0.300781
1399427900845325838	-0.0180436	0.00414982	0.300784
1399427900867385400	-0.0179481	0.00429909	0.300838
1399427900884321351	-0.017889	0.00443138	0.300896
1399427900953366587	-0.017824	0.00458825	0.30093
1399427900976240181	-0.0177487	0.00474572	0.300943
1399427900993290154	-0.0176861	0.00489088	0.300979
1399427901073275112	-0.0176228	0.00503423	0.30101
1399427901089144678	-0.0175489	0.00519075	0.300995
1399427901159226523	-0.0175005	0.0053188	0.301028
1399427901205062822	-0.0174156	0.00546022	0.301079
1399427901232022814	-0.0172982	0.00573779	0.30122
1399427901317183485	-0.0172454	0.00587883	0.301238
1399427901334224495	-0.0172147	0.00602583	0.301308
1399427901392250654	-0.0171695	0.00618411	0.301331
1399427901408204336	-0.0170998	0.00633025	0.301401
1399427901471092632	-0.0170241	0.0064873	0.30144
1399427901488059438	-0.016984	0.0066526	0.301427
1399427901504986989	-0.0169423	0.00678617	0.30147
1399427901595921957	-0.0168809	0.00693393	0.301495
1399427901656049145	-0.0167459	0.00720137	0.301611
1399427901673973534	-0.0166943	0.00732923	0.301622
1399427901743945185	-0.0166404	0.00745297	0.301624
1399427901761022630	-0.0165776	0.00757763	0.301612
1399427901861825530	-0.0165291	0.00770856	0.301615
1399427901877844737	-0.0164938	0.00783649	0.301623
1399427901895862740	-0.0164289	0.00796543	0.301648
1399427901913043259	-0.0163982	0.00807332	0.301684
1399427901993766854	-0.0163676	0.00819764	0.301683
1399427902016739262	-0.0163439	0.00832387	0.301673
1399427902070650485	-0.0162437	0.00856167	0.30164
1399427902109707066	-0.0161937	0.00869914	0.301644
1399427902162735913	-0.016136	0.00884453	0.301678
1399427902196622355	-0.0160746	0.00899415	0.3017
1399427902292799842	-0.0160114	0.00910056	0.301765
1399427902309553749	-0.0159603	0.00923465	0.301779
1399427902326586513	-0.0159147	0.00934826	0.301816
1399427902362649180	-0.0158494	0.00949263	0.301843
1399427902392603577	-0.0157958	0.00962559	0.301848
1399427902431605867	-0.0157526	0.00974426	0.301887
1399427902526533197	-0.0156966	0.00986567	0.301903
1399427902549678621	-0.0156437	0.00998295	0.301918
1399427902565460289	-0.0156141	0.0101176	0.301952
1399427902597641292	-0.0155713	0.0102532	0.301974
1399427902678614928	-0.0155108	0.010384	0.301967
1399427902718471083	-0.015466	0.0105093	0.301958
1399427902736456541	-0.0154335	0.0106501	0.301984
1399427902752441730	-0.0153986	0.0107768	0.301978
1399427902788483454	-0.0153595	0.0108891	0.301994
1399427902887313429	-0.0153063	0.0110033	0.30202
1399427902904359118	-0.0152601	0.0111066	0.302
1399427902947369825	-0.0152171	0.0112092	0.30203
1399427902969391777	-0.0151797	0.0113155	0.302056
1399427903019397883	-0.0151286	0.0114434	0.30208
1399427903042286716	-0.0151012	0.0115729	0.302066
1399427903109268808	-0.0150742	0.0116891	0.302048
1399427903152134222	-0.0150352	0.0117993	0.302039
1399427903170285154	-0.0149851	0.0119153	0.302037
1399427903194246243	-0.0149448	0.0120304	0.302046
1399427903222148042	-0.0149019	0.0121192	0.302034
1399427903263254241	-0.0148715	0.0122477	0.30201
1399427903361180517	-0.0148412	0.0123476	0.302048
1399427903408076146	-0.0148046	0.0124872	0.302067
1399427903426174398	-0.0147357	0.0125851	0.302094
1399427903442221945	-0.0146993	0.0127111	0.302077
1399427903521192942	-0.0146407	0.0128115	0.3021
1399427903537136687	-0.0146186	0.0129098	0.302113
1399427903603113862	-0.0145849	0.0130087	0.302121
1399427903622074526	-0.0145557	0.0131087	0.302113
1399427903675030887	-0.0145074	0.0132083	0.302151
1399427903693081928	-0.0144775	0.0133208	0.302207
1399427903709028618	-0.014436	0.0134371	0.302225
1399427903835053878	-0.014382	0.0135332	0.302239
1399427903874754214	-0.0143366	0.0136459	0.302279
1399427903892887110	-0.0142901	0.0137503	0.302306
1399427903914958184	-0.0142517	0.0138723	0.302328
1399427903931998201	-0.0142245	0.0139687	0.302338
1399427903945003335	-0.014166	0.0140557	0.302316
1399427904031885630	-0.0141434	0.0141309	0.302317
1399427904048911776	-0.014093	0.0142275	0.302313
1399427904115857315	-0.0140619	0.0143295	0.302315
1399427904132820187	-0.0139992	0.0144616	0.302324
1399427904201913858	-0.0139488	0.0145745	0.302322
1399427904224819402	-0.0139325	0.0146685	0.302317
1399427904315709692	-0.0137522	0.0149917	0.302312
1399427904350550386	-0.0136886	0.0151046	0.302329
1399427904465537351	-0.0136434	0.0152103	0.302338
1399427904505428682	-0.0136259	0.0153088	0.302369
1399427904523424214	-0.0135989	0.015408	0.302374
1399427904546369882	-0.0135585	0.0155092	0.302355
1399427904562391020	-0.0135252	0.0155794	0.302363
1399427904595409456	-0.0134814	0.0156802	0.302312
1399427904636382818	-0.0134532	0.0157777	0.302302
1399427904686337268	-0.0134196	0.0158972	0.30229
1399427904721236572	-0.0133867	0.0159921	0.302306
1399427904742234705	-0.013359	0.0161022	0.302299
1399427904831468651	-0.0133197	0.0161976	0.302293
1399427904850316096	-0.0132802	0.0163005	0.302298
1399427904907227940	-0.0132466	0.0163907	0.302309
1399427904924237346	-0.0132277	0.0164754	0.302288
