#Time	 SERVO_1	 SERVO_2	 SERVO_3	 SERVO_4
1399427900594538711	1175	1175	1175	1175
1399427900628596151	1175	1175	1175	1175
1399427900649557238	1175	1175	1175	1175
1399427900800428507	1175	1175	1175	1175
1399427900817326520	1175	1175	1175	1175
1399427900833362128	1175	1175	1175	1175
1399427900850302011	1175	1175	1175	1175
1399427900872339360	1175	1175	1175	1175
1399427900932208005	1175	1175	1175	1175
1399427900965263177	1175	1175	1175	1175
1399427900982310504	1175	1175	1175	1175
1399427901053338183	1175	1175	1175	1175
1399427901078255639	1175	1175	1175	1175
1399427901099283703	1175	1175	1175	1175
1399427901194089583	1175	1175	1175	1175
1399427901221056986	1175	1175	1175	1175
1399427901260081334	1175	1175	1175	1175
1399427901322019906	1175	1175	1175	1175
1399427901376214840	1175	1175	1175	1175
1399427901397248228	1175	1175	1175	1175
1399427901413130939	1175	1175	1175	1175
1399427901476073931	1175	1175	1175	1175
1399427901494122144	1175	1175	1175	1175
1399427901576031527	1175	1175	1175	1175
1399427901645039947	1175	1175	1175	1175
1399427901661002772	1175	1175	1175	1175
1399427901733023624	1175	1175	1175	1175
1399427901748957871	1175	1175	1175	1175
1399427901850022537	1175	1175	1175	1175
1399427901866944955	1175	1175	1175	1175
1399427901882933486	1175	1175	1175	1175
1399427901900890307	1175	1175	1175	1175
1399427901929907429	1175	1175	1175	1175
1399427901998745289	1175	1175	1175	1175
1399427902049754291	1175	1175	1175	1175
1399427902098725252	1175	1175	1175	1175
1399427902151640215	1175	1175	1175	1175
1399427902170771383	1175	1175	1175	1175
1399427902281581380	1175	1175	1175	1175
1399427902297730306	1175	1175	1175	1175
1399427902314531482	1175	1175	1175	1175
1399427902335656924	1175	1175	1175	1175
1399427902380574976	1175	1175	1175	1175
1399427902411625488	1175	1175	1175	1175
1399427902471314491	1175	1175	1175	1175
1399427902537629445	1175	1175	1175	1175
1399427902554638808	1175	1175	1175	1175
1399427902586512523	1175	1175	1175	1175
1399427902620454023	1175	1175	1175	1175
1399427902706580001	1175	1175	1175	1175
1399427902723475540	1175	1175	1175	1175
1399427902741494661	1175	1175	1175	1175
1399427902769789304	1175	1175	1175	1175
1399427902830416869	1175	1175	1175	1175
1399427902893374221	1175	1175	1175	1175
1399427902933358479	1175	1175	1175	1175
1399427902957293214	1175	1175	1175	1175
1399427903007375718	1175	1175	1175	1175
1399427903024401289	1175	1175	1175	1175
1399427903098212402	1175	1175	1175	1175
1399427903140336205	1175	1175	1175	1175
1399427903157293416	1175	1175	1175	1175
1399427903175273850	1175	1175	1175	1175
1399427903206231348	1175	1175	1175	1175
1399427903246183963	1175	1175	1175	1175
1399427903301227645	1175	1175	1175	1175
1399427903396261496	1175	1175	1175	1175
1399427903414212563	1175	1175	1175	1175
1399427903431299793	1175	1175	1175	1175
1399427903464204413	1175	1175	1175	1175
1399427903526103019	1175	1175	1175	1175
1399427903592120593	1175	1175	1175	1175
1399427903611024731	1175	1175	1175	1175
1399427903680036163	1175	1175	1175	1175
1399427903698054824	1175	1175	1175	1175
1399427903777053630	1175	1175	1175	1175
1399427903862988344	1175	1175	1175	1175
1399427903879995997	1175	1175	1175	1175
1399427903903995714	1175	1175	1175	1175
1399427903919909388	1175	1175	1175	1175
1399427904020831318	1175	1175	1175	1175
1399427904036884602	1175	1175	1175	1175
1399427904096863246	1175	1175	1175	1175
1399427904120900521	1175	1175	1175	1175
1399427904141810590	1175	1175	1175	1175
1399427904206757059	1175	1175	1175	1175
1399427904304795834	1175	1175	1175	1175
1399427904325754004	1175	1175	1175	1175
1399427904408695321	1175	1175	1175	1175
1399427904494435480	1175	1175	1175	1175
1399427904510410296	1175	1175	1175	1175
1399427904534406137	1175	1175	1175	1175
1399427904551391521	1175	1175	1175	1175
1399427904578364164	1175	1175	1175	1175
1399427904622335663	1175	1175	1175	1175
1399427904674342551	1175	1175	1175	1175
1399427904699422191	1175	1175	1175	1175
1399427904726298116	1175	1175	1175	1175
1399427904767398829	1175	1175	1175	1175
1399427904836320231	1175	1175	1175	1175
1399427904889236088	1175	1175	1175	1175
1399427904912158024	1175	1175	1175	1175
1399427904929245538	1175	1175	1175	1175
1399427904990181813	1175	1175	1175	1175
1399427905009225033	1175	1175	1175	1175
1399427905095317427	1175	1175	1175	1175
1399427905137196028	1175	1175	1175	1175
1399427905164122009	1175	1175	1175	1175
1399427905180169476	1175	1175	1175	1175
1399427905249100021	1175	1175	1175	1175
