#Time	 Roll 	 Pitch 	 Yaw
1399871704571277228	0.00267046	-0.00502985	0.456108
1399871704617440936	0.00275766	-0.00480776	0.45614
1399871704672349335	0.00281143	-0.00465216	0.456073
1399871704777217910	0.00288793	-0.00453058	0.455967
1399871704826226674	0.00293425	-0.00427885	0.456115
1399871704881162850	0.00296859	-0.00404285	0.456572
1399871704930156501	0.00310878	-0.00391163	0.456876
1399871704986116021	0.00315194	-0.00372373	0.456882
1399871705035106048	0.00314479	-0.00345912	0.457179
1399871705093279374	0.00327423	-0.00332738	0.457437
1399871705195140196	0.00334315	-0.00319982	0.457505
1399871705243058339	0.00332921	-0.00290943	0.457702
1399871705298948371	0.00350039	-0.00279496	0.457961
1399871705347931281	0.00350535	-0.0026007	0.457988
1399871705452007490	0.00355406	-0.002357	0.458289
1399871705465859238	0.00365357	-0.00232461	0.458367
1399871705557838662	0.00374153	-0.00208856	0.458549
1399871705572897035	0.00378599	-0.00195105	0.458741
1399871705661794005	0.00383764	-0.00181135	0.458918
1399871705716770788	0.00399102	-0.00165321	0.458973
1399871705765768966	0.00401609	-0.00145408	0.459231
1399871705821714331	0.00403477	-0.00135186	0.459379
1399871705878587687	0.00416423	-0.00119278	0.459476
1399871705974638318	0.00417534	-0.00100262	0.459701
1399871706030592039	0.00423133	-0.000919268	0.459936
1399871706079525930	0.00435694	-0.000768125	0.460121
1399871706137580532	0.00442958	-0.000581682	0.460333
1399871706183493762	0.00444771	-0.000459049	0.460556
1399871706239460184	0.00458571	-0.000364371	0.46067
1399871706295412488	0.00466381	-0.000179622	0.460803
1399871706392367654	0.00468088	-5.48661e-05	0.461035
1399871706448321849	0.00478617	-4.35114e-06	0.4611
1399871706503302294	0.00485014	0.000171375	0.461382
1399871706552302784	0.00484177	0.000321787	0.461571
1399871706601334468	0.00494151	0.00043989	0.461683
1399871706660331521	0.00497849	0.000642382	0.461852
1399871706713325575	0.00497424	0.000740882	0.461991
1399871706810296271	0.0050957	0.000902936	0.462106
1399871706865189719	0.00508522	0.00105444	0.462177
1399871706914159390	0.00519651	0.00115548	0.462278
1399871706970175448	0.00526199	0.00135584	0.462489
1399871707019155654	0.00529535	0.00143089	0.462598
1399871707074078475	0.00539209	0.00160199	0.462792
1399871707182059532	0.00542539	0.00167855	0.462927
1399871707227064846	0.00548787	0.00182657	0.463005
1399871707283078914	0.00549979	0.00189406	0.46301
1399871707332025931	0.00560346	0.00201525	0.463114
1399871707387041033	0.00562537	0.00213458	0.463271
1399871707436021340	0.00570459	0.00229512	0.463426
1399871707539987624	0.00575659	0.00240716	0.463602
1399871707555983606	0.00581559	0.00255471	0.463776
1399871707644913828	0.00589778	0.00265652	0.463816
1399871707702860375	0.00591245	0.00276473	0.463969
1399871707748852984	0.0059828	0.00287045	0.464096
1399871707803810183	0.00601337	0.00296924	0.464233
1399871707908799277	0.00606237	0.00308732	0.464397
1399871707957907851	0.00604002	0.00313015	0.464482
1399871707972895446	0.00603595	0.00321434	0.464528
1399871708061787649	0.0060675	0.00328722	0.464611
1399871708120619844	0.00607099	0.00335943	0.464742
1399871708166648659	0.00608584	0.00343848	0.464747
1399871708221622920	0.0061502	0.00347612	0.465008
1399871708278575347	0.00614023	0.00353005	0.465133
1399871708374533884	0.0061623	0.00364481	0.465227
1399871708430602513	0.00621198	0.00374541	0.465334
1399871708485630259	0.00623629	0.00380587	0.465481
1399871708535605103	0.00627242	0.00386545	0.465579
1399871708584490475	0.00629788	0.00394809	0.4657
1399871708643479200	0.00633467	0.00404638	0.46582
1399871708696383338	0.00633086	0.00412906	0.465824
1399871708792413162	0.00634962	0.00420519	0.465828
1399871708848407680	0.00635454	0.00426524	0.465859
1399871708897383684	0.00636733	0.00431287	0.465938
1399871708952524914	0.00638372	0.0043805	0.466044
1399871709001503792	0.00640524	0.00440523	0.466088
1399871709057485302	0.006399	0.0044523	0.466157
1399871709113367141	0.00641823	0.00453219	0.466223
1399871709210333652	0.00644376	0.00461596	0.466239
1399871709265272812	0.00645474	0.00467542	0.466298
1399871709314401891	0.00646971	0.0047601	0.466351
1399871709369336253	0.00644995	0.00479263	0.46647
1399871709418142044	0.00648123	0.00484904	0.466487
1399871709480115442	0.00651527	0.00489646	0.466558
1399871709533086764	0.00654422	0.00496182	0.466615
1399871709627138303	0.00654944	0.00500702	0.466655
1399871709686164032	0.00656827	0.00509614	0.466684
1399871709732088850	0.00658494	0.00516375	0.466755
1399871709787101762	0.00659746	0.00524026	0.466824
1399871709835971754	0.00658795	0.00529229	0.466932
1399871709940973542	0.00656366	0.00537515	0.466952
1399871709955992742	0.0065711	0.00545139	0.467023
1399871710018990331	0.00652904	0.00546284	0.467246
1399871710116980492	0.00643299	0.00537972	0.467566
1399871710152903010	0.00635889	0.00528309	0.467876
1399871710265763655	0.00610364	0.00417008	0.469268
1399871710271851735	0.00603381	0.00443141	0.469848
1399871710363768674	0.00591689	0.00437374	0.471363
1399871710378767834	0.00732189	0.00434176	0.472755
1399871710470724470	0.00809826	0.00493716	0.474147
1399871710580632264	0.00908441	0.00588468	0.475649
1399871710586688562	0.0097903	0.00522214	0.476462
1399871710679553543	0.00960941	0.0060881	0.478203
1399871710784545286	0.00974717	0.00539676	0.479623
1399871710852537500	0.00910214	0.00565954	0.480869
1399871710859607662	0.00922217	0.00624974	0.482354
1399871710956604683	0.0108053	0.00679527	0.484075
1399871710992506719	0.0136797	0.00815212	0.485267
1399871711104331982	0.018356	0.0107048	0.486837
1399871711111404577	0.0265602	0.0100005	0.488366
1399871711205410547	0.0319875	0.0138331	0.49041
1399871711213456916	0.0251064	0.0223404	0.498544
1399871711310453525	0.0144769	0.0247758	0.509382
