#Time 	 Pos.X 	 Pos.Y 	 Pos.Z 	 Quat.X 	 Quat.Y 	 Quat.Z 	 Quat.W
1399578099744603699	0.863615	0.798348	0.156727	-0.00437576	-0.00467771	-0.0123358	0.999903
1399578099752951699	0.863614	0.798352	0.156678	-0.00460487	-0.00481426	-0.0124996	0.9999
1399578099761327699	0.86361	0.798338	0.156702	-0.00462401	-0.00457931	-0.0124868	0.999901
1399578099769586699	0.863596	0.798341	0.156695	-0.00448933	-0.00425202	-0.0125325	0.999902
1399578099777940699	0.863632	0.798338	0.156662	-0.00461711	-0.00435167	-0.0124754	0.999902
1399578099786307699	0.863617	0.798344	0.15669	-0.00464871	-0.0046283	-0.012426	0.999901
1399578099794628699	0.863612	0.798347	0.15671	-0.00516779	-0.00450255	-0.0125053	0.999898
1399578099802945699	0.86362	0.798352	0.156696	-0.00475335	-0.00478488	-0.01245	0.9999
1399578099819645699	0.863599	0.798345	0.156701	-0.00439827	-0.0043934	-0.0125183	0.999902
1399578099836289699	0.863607	0.798351	0.15672	-0.00449309	-0.00448938	-0.0124843	0.999902
1399578099844620699	0.863606	0.798339	0.15668	-0.00461209	-0.00463912	-0.0124494	0.999901
1399578099852958699	0.863621	0.798346	0.156674	-0.00478023	-0.00425826	-0.0125498	0.999901
1399578099869629699	0.86362	0.798344	0.156711	-0.00472398	-0.00426979	-0.0124056	0.999903
1399578099886277699	0.863629	0.798352	0.156684	-0.00464549	-0.00424048	-0.0125687	0.999901
1399578099894667699	0.863605	0.79835	0.156701	-0.00437813	-0.00440328	-0.0125301	0.999902
1399578099903003699	0.863628	0.798354	0.156678	-0.00439403	-0.00450485	-0.0124359	0.999903
1399578099911302699	0.863612	0.798341	0.156696	-0.00475783	-0.00466169	-0.0124872	0.9999
1399578099919604699	0.863618	0.798341	0.156692	-0.00469909	-0.00395317	-0.0125053	0.999903
1399578099927958699	0.863616	0.798349	0.156671	-0.00462576	-0.00439779	-0.0124613	0.999902
1399578099936330699	0.863625	0.798363	0.156642	-0.00422722	-0.00424198	-0.0123798	0.999905
1399578099944667699	0.863615	0.798339	0.156667	-0.00482548	-0.00436625	-0.012566	0.9999
1399578099952961699	0.863607	0.798349	0.156711	-0.00412727	-0.00457518	-0.0124333	0.999904
1399578099961370699	0.863611	0.798343	0.156699	-0.00462976	-0.00432864	-0.0124499	0.999902
1399578099969715699	0.863621	0.798348	0.156658	-0.00450595	-0.00422635	-0.0125409	0.999902
1399578099986275699	0.863608	0.798351	0.156702	-0.00450092	-0.00450722	-0.0125114	0.999901
1399578099994650699	0.863605	0.79834	0.15669	-0.00446178	-0.0043776	-0.0124559	0.999903
1399578100002957699	0.863619	0.798341	0.156666	-0.00464387	-0.00394518	-0.0125367	0.999903
1399578100011290699	0.863619	0.798337	0.156671	-0.00461746	-0.00433299	-0.0125038	0.999902
1399578100019632699	0.863623	0.798342	0.156673	-0.00437463	-0.00428749	-0.0125107	0.999903
1399578100027956699	0.8636	0.798356	0.156708	-0.00461423	-0.00475017	-0.0125165	0.9999
1399578100036373699	0.863621	0.798342	0.156673	-0.0048262	-0.00462823	-0.0124322	0.9999
1399578100052934699	0.863629	0.798346	0.15668	-0.00470507	-0.00443629	-0.012445	0.999902
1399578100069617699	0.863613	0.798341	0.156673	-0.00475459	-0.00422315	-0.0125578	0.999901
1399578100086293699	0.863607	0.798347	0.15671	-0.00468003	-0.00458558	-0.0124915	0.999901
1399578100102977699	0.863611	0.798343	0.156694	-0.0051091	-0.00453009	-0.012492	0.999899
1399578100119670699	0.863606	0.798345	0.15668	-0.00436682	-0.00454751	-0.0124848	0.999902
1399578100127951699	0.863597	0.798349	0.15669	-0.0042554	-0.00464811	-0.0124098	0.999903
1399578100136347699	0.863628	0.798345	0.156673	-0.00462593	-0.0045601	-0.0124917	0.999901
1399578100144613699	0.863609	0.798346	0.156686	-0.00472157	-0.00464164	-0.0124758	0.9999
1399578100152958699	0.863611	0.798337	0.1567	-0.00463954	-0.00463443	-0.0124879	0.999901
1399578100161322699	0.863617	0.798346	0.156666	-0.0046112	-0.00458294	-0.0124762	0.999901
1399578100169637699	0.863613	0.798337	0.156664	-0.00479705	-0.00434543	-0.0125669	0.9999
1399578100177951699	0.863616	0.798346	0.156685	-0.00439593	-0.00507476	-0.0124805	0.9999
1399578100186324699	0.863612	0.798348	0.156706	-0.00486014	-0.00448709	-0.0125619	0.999899
1399578100194648699	0.863612	0.798335	0.156663	-0.00465036	-0.00450472	-0.0124918	0.999901
1399578100211303699	0.863615	0.798345	0.156659	-0.00433111	-0.0044479	-0.0124637	0.999903
1399578100219617699	0.863615	0.798351	0.156682	-0.00449132	-0.00482052	-0.0125285	0.9999
1399578100227924699	0.863624	0.798337	0.15666	-0.00417021	-0.00465117	-0.0124209	0.999903
1399578100236317699	0.863624	0.798343	0.156669	-0.00470184	-0.00472472	-0.0125007	0.9999
1399578100244629699	0.863606	0.798347	0.156702	-0.00406558	-0.00431546	-0.0124565	0.999905
1399578100252953699	0.863598	0.798349	0.1567	-0.0043003	-0.0042702	-0.0124778	0.999904
1399578100261367699	0.863621	0.798349	0.156669	-0.00445188	-0.00464467	-0.0123743	0.999903
1399578100269613699	0.863623	0.798339	0.156648	-0.00439538	-0.00468628	-0.0124386	0.999902
1399578100286280699	0.863618	0.798346	0.156658	-0.00435911	-0.00457276	-0.0124412	0.999903
1399578100294652699	0.863617	0.798335	0.156674	-0.0042241	-0.0041976	-0.012491	0.999904
1399578100302946699	0.863603	0.798349	0.1567	-0.00447943	-0.00453241	-0.0124781	0.999902
1399578100311353699	0.863614	0.798344	0.156676	-0.00442359	-0.00463123	-0.0124084	0.999902
1399578100319631699	0.863616	0.798338	0.156661	-0.00412019	-0.00425753	-0.0124601	0.999905
1399578100336349699	0.863605	0.798352	0.156702	-0.00491361	-0.0046279	-0.0125479	0.999898
1399578100352930699	0.863617	0.798344	0.15668	-0.00440402	-0.00442273	-0.0124321	0.999903
1399578100369673699	0.863623	0.798347	0.156662	-0.00477149	-0.00462915	-0.0124932	0.9999
1399578100386266699	0.863632	0.798351	0.156662	-0.00488553	-0.00429454	-0.0125098	0.999901
1399578100394621699	0.863616	0.798345	0.156654	-0.00412085	-0.00448626	-0.0124375	0.999904
1399578100403012699	0.863618	0.798342	0.156642	-0.00458838	-0.00448223	-0.0124693	0.999902
1399578100411257699	0.863616	0.798341	0.156665	-0.004602	-0.00427876	-0.0125871	0.999901
1399578100419605699	0.863621	0.798337	0.156645	-0.00473032	-0.00468894	-0.0124377	0.999901
1399578100428029699	0.863601	0.798344	0.156692	-0.00449227	-0.00447635	-0.0124865	0.999902
1399578100436350699	0.863615	0.798345	0.156696	-0.00456374	-0.0044928	-0.012419	0.999902
1399578100444678699	0.86362	0.798336	0.156653	-0.00441188	-0.00424439	-0.0124984	0.999903
1399578100452931699	0.863615	0.798348	0.156638	-0.00424361	-0.00450359	-0.0124791	0.999903
1399578100461313699	0.863611	0.798346	0.156704	-0.00466985	-0.00488267	-0.0123875	0.9999
1399578100469671699	0.863622	0.798347	0.156668	-0.00474565	-0.00408956	-0.0125619	0.999901
1399578100478011699	0.86361	0.798339	0.156667	-0.00469689	-0.00458629	-0.012529	0.9999
1399578100486280699	0.863621	0.798343	0.156678	-0.00475537	-0.00481984	-0.0124315	0.9999
1399578100494632699	0.863615	0.798345	0.156674	-0.00459255	-0.00432797	-0.0125247	0.999902
1399578100511263699	0.863615	0.798343	0.156691	-0.00473575	-0.00445715	-0.012452	0.999901
1399578100519589699	0.863622	0.798337	0.156657	-0.00443952	-0.00443292	-0.0125366	0.999902
1399578100527934699	0.863616	0.798342	0.156693	-0.00466652	-0.00449613	-0.0124738	0.999901
1399578100536326699	0.863591	0.798342	0.156721	-0.00465244	-0.00462836	-0.0125157	0.9999
1399578100544656699	0.863614	0.798347	0.156685	-0.00475666	-0.00436071	-0.0124984	0.999901
1399578100552952699	0.863613	0.798335	0.156645	-0.00440451	-0.00427753	-0.0125246	0.999903
1399578100569601699	0.863622	0.798347	0.156668	-0.00435225	-0.00440445	-0.0124412	0.999903
1399578100586277699	0.863619	0.798341	0.156674	-0.00464723	-0.00449976	-0.0124589	0.999901
1399578100602980699	0.863624	0.798341	0.156649	-0.00442946	-0.00419524	-0.0124489	0.999904
1399578100619617699	0.863617	0.798354	0.156682	-0.00423172	-0.00434004	-0.0124117	0.999905
1399578100636259699	0.863629	0.798339	0.156638	-0.0044399	-0.00405044	-0.0125592	0.999903
1399578100644607699	0.863609	0.798334	0.156681	-0.00461571	-0.00430245	-0.0124868	0.999902
1399578100653003699	0.863602	0.798343	0.156687	-0.0045072	-0.0045487	-0.0124887	0.999901
1399578100661349699	0.863613	0.798349	0.156675	-0.00409352	-0.00447584	-0.0124658	0.999904
1399578100669627699	0.863628	0.798349	0.156667	-0.00455227	-0.00491333	-0.0124707	0.9999
1399578100678008699	0.863615	0.798342	0.156665	-0.00388898	-0.00434362	-0.0124116	0.999906
1399578100686296699	0.863618	0.798341	0.15664	-0.00422616	-0.0044534	-0.0125047	0.999903
1399578100694644699	0.863616	0.798333	0.156653	-0.00416098	-0.00428714	-0.0124882	0.999904
1399578100702950699	0.863616	0.798342	0.156655	-0.00465497	-0.0044413	-0.0125652	0.9999
1399578100711284699	0.863601	0.798352	0.156712	-0.00442601	-0.00451269	-0.01252	0.999902
1399578100719593699	0.863618	0.798344	0.156681	-0.00492632	-0.00481568	-0.0124354	0.999899
1399578100727956699	0.863632	0.798349	0.156668	-0.00441719	-0.00440264	-0.0124266	0.999903
1399578100736266699	0.863626	0.798332	0.156629	-0.00471972	-0.00464193	-0.0125324	0.9999
1399578100744620699	0.86362	0.798341	0.156652	-0.00445685	-0.00423202	-0.0125172	0.999903
1399578100752923699	0.863617	0.798342	0.156676	-0.00442305	-0.0045631	-0.0124143	0.999903
1399578100761286699	0.863622	0.798343	0.156639	-0.00424773	-0.00446871	-0.0125872	0.999902
1399578100769595699	0.863614	0.798343	0.156663	-0.00446409	-0.00438423	-0.0125234	0.999902
