#Time	 Roll 	 Pitch 	 Yaw 	 Thrust
1399085596597073247 1520 1516 1926 1105
1399085596697279719 1520 1516 1926 1105
1399085596797464263 1520 1516 1926 1105
1399085596897716553 1520 1516 1926 1105
1399085596997974096 1520 1516 1926 1105
1399085597098242792 1520 1516 1926 1105
1399085597198514328 1520 1516 1926 1105
1399085597298811753 1520 1516 1926 1105
1399085597399070760 1520 1516 1926 1105
1399085597499320905 1520 1516 1926 1105
1399085597599594989 1520 1516 1926 1105
1399085597699874713 1520 1516 1926 1105
1399085597800164822 1520 1516 1926 1105
1399085597900393350 1520 1516 1926 1105
1399085598000682044 1520 1516 1926 1105
1399085598100962025 1520 1516 1926 1105
1399085598201218506 1520 1516 1926 1105
1399085598301493000 1520 1516 1926 1105
1399085598401757533 1520 1516 1926 1105
1399085598502029301 1520 1516 1926 1105
1399085598602324132 1520 1516 1926 1105
1399085598702548484 1520 1516 1926 1105
1399085598802789496 1520 1516 1926 1105
1399085598903002310 1520 1516 1926 1105
1399085599003229893 1520 1516 1926 1105
1399085599103428799 1520 1516 1926 1105
1399085599203653719 1520 1516 1926 1105
1399085599303866999 1520 1516 1926 1105
1399085599404078085 1520 1516 1926 1105
1399085599504290811 1520 1516 1926 1105
1399085599604536067 1520 1516 1513 1105
