#Time	 Roll 	 Pitch 	 Yaw
1399581250408930471	-0.00810732	-0.0372436	0.604867
1399581250507837429	-0.00812427	-0.0372493	0.604814
1399581250562872615	-0.00811497	-0.03727	0.604849
1399581250611808269	-0.00810296	-0.0372644	0.604878
1399581250667717446	-0.00811856	-0.0372554	0.604887
1399581250716751240	-0.00814767	-0.0372747	0.604878
1399581250771716133	-0.00815662	-0.0372694	0.60486
1399581250827703106	-0.00812205	-0.0372635	0.604997
1399581250924745124	-0.008124	-0.0372808	0.605089
1399581250980619046	-0.00811244	-0.0372988	0.605195
1399581251029586645	-0.00808887	-0.0373067	0.605332
1399581251084697855	-0.00811985	-0.0372534	0.605506
1399581251133757045	-0.00817108	-0.037216	0.605651
1399581251189738021	-0.00820642	-0.0371956	0.60579
1399581251245721714	-0.00821193	-0.0372056	0.605854
1399581251342633782	-0.0082129	-0.0371911	0.605962
1399581251406538644	-0.0082387	-0.0371891	0.606013
1399581251446562065	-0.00823356	-0.0371809	0.606084
1399581251502527404	-0.00824575	-0.0371877	0.606157
1399581251551626115	-0.00827141	-0.0372003	0.6063
1399581251606614881	-0.00828542	-0.0371977	0.606329
1399581251711416449	-0.00834429	-0.0371823	0.606338
1399581251760433462	-0.00839025	-0.0371606	0.606412
1399581251815468665	-0.00842563	-0.0371318	0.606464
1399581251864456816	-0.0084308	-0.0371463	0.606494
1399581251922364952	-0.00842242	-0.0371733	0.606551
1399581251968397947	-0.00844659	-0.0371915	0.606638
1399581252024384521	-0.00844063	-0.0371907	0.606673
1399581252141315441	-0.00844167	-0.0371999	0.606701
1399581252149323774	-0.00839625	-0.0372083	0.606743
1399581252245266755	-0.00840539	-0.0372303	0.606897
1399581252281279313	-0.00841713	-0.0373009	0.607128
1399581252349231531	-0.00843434	-0.03732	0.607035
1399581252385210953	-0.00845654	-0.0373409	0.606952
1399581252456190425	-0.00848578	-0.0373705	0.607104
1399581252558099542	-0.008524	-0.0373849	0.607132
1399581252565117901	-0.00853863	-0.0373779	0.607091
1399581252661963683	-0.00855231	-0.0373856	0.60712
1399581252697988217	-0.00854256	-0.0373619	0.607174
1399581252765953113	-0.00852856	-0.0373428	0.60725
1399581252876802885	-0.00854259	-0.0373205	0.607263
1399581252883927424	-0.00854324	-0.0373353	0.607222
1399581252977598321	-0.00857006	-0.0373481	0.607291
1399581252984666636	-0.00856273	-0.0373819	0.60738
1399581253078618045	-0.0085399	-0.0373852	0.607392
1399581253114631740	-0.00852727	-0.0373856	0.607304
1399581253170583288	-0.00851858	-0.0373952	0.607167
1399581253226527290	-0.00851381	-0.0373971	0.606923
1399581253323520088	-0.00847948	-0.0374167	0.606669
1399581253382525917	-0.00848847	-0.0374138	0.606337
1399581253427493935	-0.00847087	-0.0374351	0.605935
1399581253486639499	-0.00849415	-0.0374626	0.6055
1399581253532333553	-0.0085149	-0.0374803	0.60536
1399581253587278970	-0.00855511	-0.0374726	0.605234
1399581253644374553	-0.0085534	-0.0374863	0.605059
1399581253741369520	-0.00852994	-0.0374543	0.60486
1399581253796265922	-0.00850466	-0.0374675	0.604579
1399581253845221763	-0.00848547	-0.0374754	0.604281
1399581253901164034	-0.00845636	-0.0374669	0.604068
1399581253949213216	-0.00842105	-0.0375068	0.603872
1399581254008164783	-0.00842124	-0.0375172	0.603731
1399581254110121260	-0.00844172	-0.0375183	0.60368
1399581254158051860	-0.00847076	-0.0375262	0.60348
1399581254214048948	-0.00848702	-0.0375043	0.603284
1399581254263035150	-0.00849669	-0.037509	0.603265
1399581254318015376	-0.0085689	-0.037512	0.603105
1399581254372993172	-0.00862979	-0.0375075	0.602886
1399581254425968115	-0.00862119	-0.0375509	0.602977
1399581254539886677	-0.00863623	-0.0375682	0.603099
1399581254546938173	-0.00863342	-0.0375982	0.603244
1399581256474059472	-0.00855279	-0.0374456	0.603329
1399581256480020448	-0.00850227	-0.03732	0.603276
1399581256557004703	-0.00847496	-0.0371771	0.603373
1399581256612949322	-0.00844555	-0.0370571	0.603277
1399581256660910958	-0.00840333	-0.0369393	0.603468
1399581256716937323	-0.0083332	-0.0368192	0.603567
1399581256765895564	-0.00826337	-0.0366597	0.603581
1399581256820866576	-0.0082829	-0.0365688	0.603472
1399581256877880700	-0.00822022	-0.0364297	0.603542
1399581256973752129	-0.00825348	-0.0363418	0.603549
1399581257032737718	-0.00818714	-0.0361597	0.60358
1399581257078735875	-0.0081949	-0.0361245	0.603432
1399581257134706041	-0.00808789	-0.0357857	0.603435
1399581257189669555	-0.00803746	-0.0358599	0.603249
1399581257238682873	-0.00805149	-0.0355465	0.603339
1399581257295620866	-0.00797161	-0.0355082	0.603423
1399581257391638393	-0.00790588	-0.0353728	0.6033
1399581257447547879	-0.00799493	-0.0352791	0.603198
1399581257496417451	-0.00789741	-0.0351513	0.603378
1399581257554501230	-0.00782435	-0.035035	0.603551
1399581257600487925	-0.00789726	-0.0350197	0.603428
1399581257656428969	-0.00781362	-0.0348438	0.603333
1399581257760503523	-0.00785411	-0.0346947	0.603554
1399581257809328006	-0.0077668	-0.0345678	0.603658
1399581257864348429	-0.00767648	-0.0345619	0.603601
1399581257913497100	-0.00775386	-0.0343793	0.603521
1399581257969375038	-0.00769612	-0.0342773	0.603439
1399581258018504279	-0.00759936	-0.0341515	0.60375
1399581258076479199	-0.00754091	-0.0340454	0.603871
1399581258181510569	-0.00758198	-0.0340105	0.603821
1399581258226557856	-0.00743726	-0.0338659	0.603639
1399581258282323814	-0.00748097	-0.0336945	0.603886
1399581258331318115	-0.00738685	-0.0335846	0.604143
1399581258386377674	-0.00731078	-0.0335523	0.604019
1399581258435445121	-0.00728507	-0.0333864	0.603823
1399581258540180142	-0.00730456	-0.0332712	0.603927
1399581258555310765	-0.00712604	-0.0331181	0.604092
1399581258644251810	-0.00710881	-0.0329865	0.604182
1399581258700122220	-0.00706361	-0.0329316	0.604069
1399581258749090161	-0.00701329	-0.0327798	0.603933
1399581258804093269	-0.00691556	-0.0325841	0.604142
1399581258861141410	-0.00691809	-0.032494	0.604424
1399581258956932710	-0.0068647	-0.032458	0.604271
1399581259012885017	-0.00686059	-0.0323331	0.604085
1399581259061825127	-0.00683346	-0.0321848	0.604296
1399581259119786788	-0.00673226	-0.0321053	0.604476
1399581259171698776	-0.00665309	-0.0320257	0.604326
1399581259221712587	-0.00665816	-0.0319036	0.604254
1399581259278692103	-0.00661782	-0.0317786	0.604385
1399581259374692692	-0.00651542	-0.0317171	0.604531
1399581259430613260	-0.00650985	-0.0316411	0.604515
1399581259479532395	-0.00654656	-0.0315364	0.604448
1399581259537546131	-0.00644153	-0.0314165	0.604503
1399581259583578192	-0.00634882	-0.031333	0.604645
1399581259638577232	-0.00634511	-0.0312556	0.604607
1399581259695456900	-0.0063734	-0.031144	0.604566
1399581259792459719	-0.00620471	-0.0310413	0.604588
1399581259847444107	-0.00618653	-0.0309491	0.60469
1399581259896473445	-0.00621275	-0.030907	0.60459
1399581259952447003	-0.0061162	-0.0307688	0.604538
1399581260001454773	-0.0060072	-0.0306436	0.604798
1399581260059315145	-0.00601362	-0.0306085	0.604841
1399581260164364179	-0.00597574	-0.0305033	0.604718
1399581260209472593	-0.00588414	-0.0303448	0.604807
1399581260265512339	-0.00581244	-0.0302981	0.605105
1399581260314384258	-0.00583427	-0.0302557	0.605022
1399581260369244773	-0.00581868	-0.0302203	0.604818
1399581260418220841	-0.00573748	-0.0300364	0.604947
1399581260473190828	-0.00569184	-0.0300049	0.605148
1399581260581160132	-0.00566667	-0.0299737	0.604997
1399581260627171961	-0.00563753	-0.0298188	0.604964
1399581260682136572	-0.00556328	-0.0297084	0.605242
1399581260731101162	-0.00554253	-0.0296963	0.605234
1399581260786084808	-0.00550342	-0.0296496	0.604981
1399581260835070284	-0.00550208	-0.0294707	0.605086
1399581260939998309	-0.00555993	-0.0294433	0.605712
1399581260954999313	-0.00547724	-0.0294014	0.605311
1399581261043966979	-0.00542204	-0.0293554	0.605111
1399581261102887955	-0.00535541	-0.0292616	0.605152
1399581261148822542	-0.00535081	-0.0292327	0.605191
1399581261203884812	-0.00528069	-0.029165	0.605073
1399581261259980614	-0.00531689	-0.029032	0.605097
1399581261356759614	-0.00532093	-0.0289445	0.605098
1399581261412835367	-0.00521652	-0.0288134	0.6052
1399581261461899970	-0.00516678	-0.0286961	0.605455
1399581261516846099	-0.00510834	-0.0286653	0.605562
1399581261565851649	-0.00501099	-0.0286433	0.605319
1399581261623705771	-0.00508182	-0.0285138	0.605176
1399581261687813169	-0.00508588	-0.0284318	0.605379
1399581261774568082	-0.00495001	-0.028342	0.605632
1399581261829486180	-0.00495882	-0.0282867	0.605755
