#Time 	 Pos.X 	 Pos.Y 	 Pos.Z 	 Quat.X 	 Quat.Y 	 Quat.Z 	 Quat.W
1399586041406947363	0.660578	0.671161	0.0674483	0.00404022	-0.00836493	0.687959	0.72569
1399586041415324363	0.660539	0.671175	0.0674628	0.00427707	-0.00827935	0.687865	0.725779
1399586041431968363	0.660574	0.671166	0.0674296	0.0040392	-0.00831752	0.687915	0.725732
1399586041440298363	0.660491	0.671156	0.0674367	0.00438596	-0.00797945	0.687884	0.725763
1399586041448622363	0.660555	0.671128	0.0674415	0.00395771	-0.00811501	0.687929	0.725722
1399586041456992363	0.660508	0.671147	0.0674702	0.00422411	-0.00802008	0.687863	0.725784
1399586041465286363	0.660535	0.671228	0.0674878	0.00447506	-0.00846395	0.687907	0.725736
1399586041473679363	0.660544	0.671135	0.0674762	0.00396672	-0.00808828	0.687866	0.725782
1399586041481981363	0.660506	0.671171	0.0674792	0.0042787	-0.00805019	0.687821	0.725823
1399586041490400363	0.660607	0.671202	0.0674575	0.00409619	-0.00864428	0.687915	0.725729
1399586041498710363	0.660601	0.671274	0.06741	0.00447397	-0.00888405	0.687914	0.725724
1399586041507010363	0.660554	0.671115	0.0674158	0.00397192	-0.00804559	0.687876	0.725772
1399586041515288363	0.660674	0.671242	0.0674824	0.00397574	-0.00910925	0.687965	0.725676
1399586041523638363	0.660563	0.671143	0.0674446	0.00396532	-0.00824014	0.687917	0.725732
1399586041532005363	0.660556	0.671206	0.0674926	0.00426485	-0.00849805	0.687912	0.725731
1399586041540296363	0.660627	0.67126	0.0674542	0.00420429	-0.00896933	0.687907	0.725731
1399586041548619363	0.660588	0.671282	0.0674613	0.00449948	-0.0088698	0.687899	0.725739
1399586041556995363	0.660524	0.671242	0.067427	0.00464218	-0.00837542	0.687893	0.725749
1399586041565298363	0.660516	0.6712	0.0674702	0.00444082	-0.00827044	0.687947	0.7257
1399586041573723363	0.660528	0.671121	0.0674476	0.00408424	-0.00802394	0.687932	0.72572
1399586041590333363	0.660564	0.671278	0.0674558	0.00458452	-0.00874366	0.68792	0.725719
1399586041598629363	0.660524	0.671142	0.0674227	0.00427946	-0.00804683	0.687873	0.725774
1399586041606974363	0.660565	0.671178	0.0674529	0.00409808	-0.00833354	0.687825	0.725818
1399586041623684363	0.660518	0.671191	0.0674444	0.00444709	-0.00820178	0.687885	0.725759
1399586041631962363	0.660522	0.671236	0.0674571	0.00458079	-0.00840593	0.6879	0.725742
1399586041640353363	0.660534	0.671172	0.0674656	0.00426002	-0.00822705	0.687924	0.725723
1399586041648651363	0.660545	0.67119	0.0674392	0.00429972	-0.0083312	0.687922	0.725724
1399586041665306363	0.660502	0.671175	0.0674358	0.00449149	-0.00808094	0.687853	0.725791
1399586041673623363	0.660598	0.67123	0.0674052	0.00428316	-0.00869554	0.687903	0.725738
1399586041682031363	0.660556	0.671103	0.067384	0.00388387	-0.00796958	0.687859	0.72579
1399586041690377363	0.66052	0.671159	0.0674496	0.00426531	-0.00804821	0.687832	0.725813
1399586041698621363	0.660608	0.671139	0.0674556	0.00378795	-0.00841683	0.687907	0.725741
1399586041706965363	0.660611	0.671185	0.0674608	0.00397029	-0.0086028	0.68792	0.725725
1399586041715296363	0.660587	0.67124	0.0674649	0.00431411	-0.00868528	0.687888	0.725752
1399586041723669363	0.660625	0.671203	0.0674585	0.00403718	-0.008741	0.687889	0.725752
1399586041731972363	0.660542	0.671208	0.0674405	0.00445281	-0.00842762	0.687928	0.725716
1399586041740401363	0.660598	0.671197	0.0674588	0.004093	-0.00857908	0.687966	0.725681
1399586041748631363	0.660546	0.671151	0.0674467	0.00410337	-0.00815778	0.687868	0.725779
1399586041756961363	0.66056	0.671229	0.0674486	0.0043852	-0.00850373	0.687954	0.725691
1399586041765308363	0.660578	0.671222	0.0674223	0.00428127	-0.00857121	0.687889	0.725753
1399586041773638363	0.660556	0.671175	0.0674484	0.00416549	-0.00828487	0.68787	0.725775
1399586041790296363	0.660541	0.671166	0.0674464	0.00418911	-0.00818315	0.687946	0.725703
1399586041798705363	0.660616	0.67112	0.0674667	0.00365404	-0.00832195	0.687857	0.725789
1399586041807026363	0.660555	0.671195	0.0674646	0.00430972	-0.00833598	0.687865	0.725778
1399586041823628363	0.660516	0.671241	0.067429	0.00466632	-0.00833899	0.687867	0.725773
1399586041831950363	0.660545	0.671136	0.0674578	0.00407041	-0.00816713	0.687914	0.725735
1399586041840297363	0.660499	0.671212	0.0674321	0.00462927	-0.00822823	0.687872	0.725771
1399586041856941363	0.660574	0.671177	0.0674409	0.00412128	-0.00839624	0.687882	0.725762
1399586041865286363	0.660532	0.67114	0.0674645	0.0041214	-0.00798108	0.687895	0.725755
1399586041873633363	0.660548	0.671181	0.0674366	0.00430853	-0.00829044	0.687869	0.725775
1399586041881996363	0.660584	0.67119	0.0674358	0.00419357	-0.00852274	0.687905	0.725739
1399586041890277363	0.66053	0.671122	0.0674319	0.00409915	-0.00789533	0.687843	0.725805
1399586041898634363	0.660593	0.671193	0.067456	0.00409883	-0.00858086	0.687961	0.725686
1399586041906966363	0.660531	0.671183	0.0674163	0.00446354	-0.00822871	0.687888	0.725757
1399586041915287363	0.660553	0.671233	0.067451	0.00444959	-0.00853882	0.687893	0.725749
1399586041923717363	0.660559	0.671182	0.067443	0.00427178	-0.00843276	0.687922	0.725723
1399586041931965363	0.660522	0.671179	0.0674484	0.0043632	-0.00809243	0.687888	0.725759
1399586041940291363	0.66063	0.671187	0.0674411	0.00393429	-0.00865742	0.687891	0.725751
1399586041948637363	0.660583	0.671179	0.0674635	0.00411047	-0.00843502	0.687903	0.725742
1399586041957012363	0.66051	0.671208	0.0674722	0.0045176	-0.00826589	0.687967	0.725681
1399586041965304363	0.660563	0.671233	0.0674985	0.00435451	-0.00854916	0.687898	0.725744
1399586041973673363	0.660552	0.671199	0.0674957	0.0042554	-0.00842514	0.687932	0.725714
1399586041981946363	0.660599	0.67118	0.0674539	0.00401248	-0.00854583	0.687889	0.725754
1399586041990290363	0.660515	0.671145	0.067478	0.00408969	-0.00797015	0.687814	0.725831
1399586041998636363	0.660557	0.671188	0.0674301	0.00429105	-0.00838895	0.687897	0.725747
1399586042015315363	0.660575	0.671152	0.067477	0.00396048	-0.00833389	0.687873	0.725773
1399586042023698363	0.660549	0.671179	0.0674601	0.00425589	-0.00825865	0.687845	0.725798
1399586042031951363	0.660575	0.671344	0.0674836	0.00479584	-0.00911693	0.687966	0.72567
1399586042040313363	0.660615	0.671149	0.0674652	0.00375945	-0.00846284	0.687927	0.725721
1399586042048603363	0.660532	0.671169	0.0674489	0.00427387	-0.00817038	0.687923	0.725726
1399586042056945363	0.660564	0.671183	0.0674777	0.00410359	-0.00833191	0.68791	0.725737
